species_id;bwg_name;domain;kingdom;phylum;subphylum;class;subclass;ord;subord;family;subfamily;tribe;genus;species;subspecies;functional_group;predation;realm;micro_macro;barcode;name0;
3361;Copepoda.1;Eukaryota;Animalia;Arthropoda;Crustacea;Maxillopoda;Copepoda;Harpacticoida;NA;Canthocamptidae;NA;NA;Bryocamptus;NA;NA;filter.feeder;prey;aquatic;micro;EEE;Bryocamptus sp;
3366;Branchiopoda.2;Eukaryota;Animalia;Arthropoda;Crustacea;Branchiopoda;Phyllopoda;Diplostraca;Cladocera;Daphnidae;NA;NA;NA;NA;NA;filter.feeder;prey;aquatic;micro;123;Daphnidae sp;
3371;Diptera.222;Eukaryota;Animalia;Arthropoda;NA;Insecta;Neoptera;Diptera;NA;NA;NA;NA;NA;NA;NA;NA;NA;aquatic;macro;NA;Pupa_Diptera2;
3376;Diptera.223;Eukaryota;Animalia;Arthropoda;NA;Insecta;Neoptera;Diptera;NA;NA;NA;NA;NA;NA;NA;NA;NA;aquatic;macro;NA;Pupa_Diptera3;
3381;Diptera.224;Eukaryota;Animalia;Arthropoda;NA;Insecta;Neoptera;Diptera;NA;NA;NA;NA;NA;NA;NA;NA;NA;aquatic;macro;NA;Pupa_Diptera4;
3386;Diptera.225;Eukaryota;Animalia;Arthropoda;NA;Insecta;Neoptera;Diptera;NA;NA;NA;NA;NA;NA;NA;NA;NA;aquatic;macro;NA;Pupa_Diptera5;
3391;Diptera.226;Eukaryota;Animalia;Arthropoda;NA;Insecta;Neoptera;Diptera;NA;NA;NA;NA;NA;NA;NA;NA;NA;aquatic;macro;NA;Pupa_Diptera6;
3396;Diptera.26;Eukaryota;Animalia;Arthropoda;NA;Insecta;Neoptera;Diptera;Brachycera;NA;NA;NA;NA;NA;NA;NA;NA;aquatic;macro;NA;Brachycera1;
3401;Diptera.437;Eukaryota;Animalia;Arthropoda;NA;Insecta;Neoptera;Diptera;Brachycera;NA;NA;NA;NA;NA;NA;NA;NA;aquatic;macro;NA;BrachyceraA;
3406;Diptera.27;Eukaryota;Animalia;Arthropoda;NA;Insecta;Neoptera;Diptera;Brachycera;NA;NA;NA;NA;NA;NA;NA;NA;aquatic;macro;NA;Brachycera2;
3411;Diptera.28;Eukaryota;Animalia;Arthropoda;NA;Insecta;Neoptera;Diptera;Brachycera;NA;NA;NA;NA;NA;NA;NA;NA;aquatic;macro;NA;Brachycera3;
