"","site","fngrp1","fngrp2","trophic","corr"
"1","macae","filter.feeder","shredder","yes",-0.22065799998602
"2","macae","scraper","shredder","yes",-0.00115216566460629
"3","macae","scraper","filter.feeder","yes",0.221396597833834
"4","macae","gatherer","shredder","yes",-0.214715899874815
"5","macae","gatherer","filter.feeder","yes",0.395836735389075
"6","macae","gatherer","scraper","yes",0.229290213298521
"7","macae","engulfer","shredder","no",0.140136593818353
"8","macae","engulfer","filter.feeder","no",0.00632616053341712
"9","macae","engulfer","scraper","no",-0.281055568294975
"10","macae","engulfer","gatherer","no",-0.201261781739682
"11","macae","piercer","shredder","no",-0.265646125947165
"12","macae","piercer","filter.feeder","no",0.130145836427569
"13","macae","piercer","scraper","no",-0.0970060379063784
"14","macae","piercer","gatherer","no",-0.139382069598764
"15","macae","piercer","engulfer","no",0.0301727072191289
"16","costarica","filter.feeder","shredder","yes",0.176857360464729
"17","costarica","scraper","shredder","yes",-0.100973882226272
"18","costarica","scraper","filter.feeder","yes",0.163624347380425
"19","costarica","gatherer","shredder","yes",-0.131762351692638
"20","costarica","gatherer","filter.feeder","yes",0.139507106382264
"21","costarica","gatherer","scraper","yes",0.503503533556258
"22","costarica","engulfer","shredder","no",-0.137653621142462
"23","costarica","engulfer","filter.feeder","no",-0.0537629590725776
"24","costarica","engulfer","scraper","no",0.160586617528984
"25","costarica","engulfer","gatherer","no",0.297795921936775
"26","costarica","piercer","shredder","no",-0.325371002919693
"27","costarica","piercer","filter.feeder","no",-0.0175643254747662
"28","costarica","piercer","scraper","no",0.0280073060521377
"29","costarica","piercer","gatherer","no",-0.119896488953234
"30","costarica","piercer","engulfer","no",-0.30435679959439
"31","cardoso","filter.feeder","shredder","yes",0.179384097349878
"32","cardoso","scraper","shredder","yes",-0.0131891927490572
"33","cardoso","scraper","filter.feeder","yes",0.179902292952127
"34","cardoso","gatherer","shredder","yes",-0.140101934747349
"35","cardoso","gatherer","filter.feeder","yes",0.208741803583126
"36","cardoso","gatherer","scraper","yes",-0.090572446379055
"37","cardoso","engulfer","shredder","no",0.0865774929781561
"38","cardoso","engulfer","filter.feeder","no",0.321350795514823
"39","cardoso","engulfer","scraper","no",0.069361202766333
"40","cardoso","engulfer","gatherer","no",0.0408763782492856
"41","cardoso","piercer","shredder","no",0.0984928491583062
"42","cardoso","piercer","filter.feeder","no",-0.00887134972566231
"43","cardoso","piercer","scraper","no",-0.132020015578573
"44","cardoso","piercer","gatherer","no",-0.0979301952315197
"45","cardoso","piercer","engulfer","no",0.196175478417914
"46","frenchguiana","filter.feeder","shredder","yes",-0.0985571171825547
"47","frenchguiana","scraper","shredder","yes",0.0511108180663106
"48","frenchguiana","scraper","filter.feeder","yes",-0.0275897014619495
"49","frenchguiana","gatherer","shredder","yes",0.233210926943887
"50","frenchguiana","gatherer","filter.feeder","yes",0.0916978426053891
"51","frenchguiana","gatherer","scraper","yes",0.00676734424293237
"52","frenchguiana","engulfer","shredder","no",-0.118868420546209
