"","fngrp1","fngrp2","V3"
"1","filter.feeder","shredder",0.0645887357998776
"2","scraper","shredder",0.0695397995355586
"3","scraper","filter.feeder",0.163400545768507
"4","gatherer","shredder",0.0101828898052597
"5","gatherer","filter.feeder",0.105559833261548
"6","gatherer","scraper",0.0712565660662698
"7","engulfer","shredder",0.033069392842524
"8","engulfer","filter.feeder",0.182815564325111
"9","engulfer","scraper",-0.0602241332584827
"10","engulfer","gatherer",0.0506399255153676
"11","piercer","shredder",-0.122329964651595
"12","piercer","filter.feeder",-0.0291139701440098
"13","piercer","scraper",-0.011543617678872
"14","piercer","gatherer",-0.0849249088244389
"15","piercer","engulfer",-0.0469227719526636
