"","site_brom.id","site","trt.name","mu.scalar","k.scalar","intended.mu","intended.k","temporal.block","maxvol","leaf.number","mean.diam","catchment.area","turbidity.initial","oxygen.percent.initial","oxygen.conc.initial","ph.initial","chlorophyll.initial","bacteria.per.ml..initial","amoeba.per.ml.initial","algae.per.ml.initial","ciliates.per.ml.initial","flagellates.per.ml.initial","rotifers.per.ml.initial","leafpack1.species1.mass.initial","leafpack2.species1.mass.initial","leafpack1.species2.mass.initial","leafpack2.species2.mass.initial","co2.final","methane.final","turbidity.final","oxygen.percent.final","oxygen.conc.final","ph.final","chlorophyll.final","bacteria.per.ml.final","amoeba.per.ml.final","algae.per.ml.final","ciliates.per.ml.final","flagellates.per.ml.final","rotifers.per.ml.final","leafpack1.species1.mass.final","leafpack2.species1.mass.final","leafpack1.species2.mass.final","leafpack2.species2.mass.final","water.volume.final","fpom.final","n15.bromeliad.final","final.bromeliad.percentn","final.bromeliad.percentc","species1","species2","decomp","sample_size_species","mean.depth","max.depth","min.depth","amplitude","net_fluc","tot_fluc","sd.depth","cv.depth","wetness","prop.overflow.days","prop.driedout.days","long_dry","long_wet","n_driedout","n_overflow","last_dry","last_wet","NA_NA_total_abundance","NA_NA_total_biomass","NA_NA_total_taxa","predator_engulfer_total_abundance","predator_engulfer_total_biomass","predator_engulfer_total_taxa","predator_piercer_total_abundance","predator_piercer_total_biomass","predator_piercer_total_taxa","prey_filter.feeder_total_abundance","prey_filter.feeder_total_biomass","prey_filter.feeder_total_taxa","prey_gatherer_total_abundance","prey_gatherer_total_biomass","prey_gatherer_total_taxa","prey_piercer_total_abundance","prey_piercer_total_biomass","prey_piercer_total_taxa","prey_scraper_total_abundance","prey_scraper_total_biomass","prey_scraper_total_taxa","prey_shredder_total_abundance","prey_shredder_total_biomass","prey_shredder_total_taxa","predator_biomass","prey_biomass","predator_abundance","prey_abundance","Coleoptera_bio","Diptera_bio","Ephemeroptera_bio","Haplotaxida_bio","Lepidoptera_bio","Odonata_bio","ord_NA_bio","Podocopida_bio","Trichoptera_bio","Hirudinea_bio","Neoptera_bio","Oligochaeta_bio","Palaeoptera_bio","Podocopa_bio","subclass_NA_bio","Aeolosomatidae_bio","Anisopodidae_bio","Calamoceratidae_bio","Candonidae_bio","Cecidomyiidae_bio","Ceratopogonidae_bio","Chironomidae_bio","Coenagrionidae_bio","Corethrellidae_bio","Culicidae_bio","Curculionidae_bio","Dolichopodidae_bio","Dytiscidae_bio","Elateridae_bio","Elmidae_bio","Empididae_bio","Enchytraeoidae_bio","Ephydridae_bio","family_NA_bio","Hydrophilidae_bio","Lampyridae_bio","Limnocytheridae_bio","Limoniidae_bio","Muscidae_bio","Naididae_bio","Periscelididae_bio","Phoridae_bio","Pseudostigmatidae_bio","Psychodidae_bio","Ptilodactylidae_bio","Scatopsidae_bio","Sciaridae_bio","Scirtidae_bio","Sphaeroceridae_bio","Stratiomyidae_bio","Syrphidae_bio","Tabanidae_bio","Tipulidae_bio","Anophelinae_bio","Calamoceratinae_bio","Candoninae_bio","Ceratopogoninae_bio","Chioneinae_bio","Chironominae_bio","Copelatinae_bio","Corethrellinae_bio","Culicinae_bio","Dasyheleniae_bio","Eristalinae_bio","Forcipomyiinae_bio","Hermetiinae_bio","Limoniinae_bio","Naidinae_bio","Orthocladiinae_bio","Pristininae_bio","Psychodinae_bio","Sphaeridiinae_bio","subfamily_NA_bio","Tabaninae_bio","Tanypodinae_bio","Timiriaseviinae_bio","Tipulinae_bio","Aelosoma_bio","Anopheles_bio","Atrichopogon_bio","Aulophorus_bio","Bezzia_bio","Bromeliagrion_bio","Candonopsis_bio","Cheilotrichia_bio","Chironomus_bio","Contacyphon_bio","Copelatus_bio","Corethrella_bio","Corynoneura_bio","Culex_bio","Culicoides_bio","Dero_bio","Elpidium_bio","Eristalis_bio","Forcipomyia_bio","genus_NA_bio","Haemagogus_bio","Harnischia_bio","Hermetia_bio","Larsia_bio","Leptagrion_bio","Limnophyes_bio","Mecistogaster_bio","Monopelopia_bio","Pericoma_bio","Phylloicus_bio","Polypedilum_bio","Pristina_bio","Sphaeromias_bio","Stenochironomus_bio","Stibasoma_bio","Stilobezzia_bio","Tanytarsus_bio","Tipula_bio","Toxorhynchites_bio","Trentepohlia_bio","Wyeomyia_bio","cv_max_temp","cv_mean_temp","cv_min_temp","max_temp","mean_temp","min_temp","sd_max_temp","sd_mean_temp","sd_min_temp","meso_predator_biomass","top_predator_biomass","mu.scalar.2","k.scalar.2","intended.mu.2","intended.k.2","change.k","change.mu","bacteria.per.nl.final","detritivore_total_biomass","PDratio","detChiron_bio","predCerato_bio","detCerato_bio","TipulidaeLimoniidae_bio","filtCulicidae","exposure","change_mean_temp","change_cv_temp","shredder_bio","filter.feeder_bio","scraper_bio","gatherer_bio","engulfer_bio","piercer_bio","totalbio"
"1","argentina_1","argentina","mu0.1k0.5",0.1,0.5,0.43,0.03,"b",280,30,70.5,1146.52,NA,16.6,5.9,6.5,NA,NA,NA,NA,NA,NA,NA,170,140,NA,NA,1.5672125,NA,376,17.5,69,6.4,9.32,NA,NA,NA,NA,NA,NA,100,70,NA,NA,45,NA,7.0650651534081,0.434883066759012,NA,0.455882352941176,NA,0.455882352941176,1,8.19444444444444,59.375,0,59.375,-67.2,67.2,15.8554568267342,227.632128904631,0.125169193690269,0.0333333333333333,0.777777777777778,20,2,35,1.5,4,34,0,0,0,0,0,0,0,0,0,0,0,0,7,0.388888888888889,1,0,0,0,14,1.10526315789474,1,2,2.3,1,0,3.79415204678363,0,23,1.10526315789474,2.68888888888889,0,0,0,0,0,0,0,0,3.79415204678363,0,0,0,0,0,0,0,0,0,0,0.388888888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.10526315789474,0,0,0,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.79415204678363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.79415204678363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.7315920718273,10.7714962149719,17.965006920688,29.5,23.2521766169154,17.8134328358209,3.46081966118906,2.50460732418963,3.20018444176734,0,0,0.01,0.25,0.1849,9e-04,0.693147180559945,2.30258509299405,NA,3.79415204678363,0,0.388888888888889,0,0,2.3,0,18.0850262576009,-0.183857498223151,0.51744814584416,2.3,0,1.10526315789474,0.388888888888889,0,0,3.79415204678363
"2","argentina_26","argentina","mu0.2k0.5",0.2,0.5,0.86,0.03,"c",340,30,67,1380.95,214,2.9,1.2,6.54,NA,NA,NA,NA,NA,NA,NA,170,120,NA,NA,3.0860653,NA,25.7,NA,NA,5.95,17.04,NA,NA,NA,NA,NA,NA,60,60,NA,NA,60,NA,19.3128077719689,0.648989281418378,NA,0.573529411764706,NA,0.573529411764706,1,7.16510416666667,44.45,0,44.45,-12.55,209.75,10.5379550267984,157.931032767686,0.160038456588519,0.0416666666666667,0.59375,14.5,0,28.5,2,4,35,0,0,0,0,0,0,1,16.9,1,0,0,0,11,0.611111111111111,1,0,0,0,23,0.940909090909091,1,2,1.4,1,16.9,2.9520202020202,1,36,0.940909090909091,18.9111111111111,0,0,0,0,0,0,0,0,19.8520202020202,0,0,0,0,0,0,0,0,0,0,0.611111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.940909090909091,0,0,0,16.9,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.8520202020202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.8520202020202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.4650920085018,9.54777383714574,15.7875195135185,29.8582089552239,23.890236318408,18.4029850746269,3.12468903925491,2.28098573284124,2.90537485972661,0,16.9,0.04,0.25,0.7396,9e-04,0.693147180559945,1.6094379124341,NA,2.9520202020202,5.72489307100085,0.611111111111111,0,0,1.4,0,14.1848278140547,0.454202203269382,-0.706274231982022,1.4,0,0.940909090909091,0.611111111111111,0,16.9,19.8520202020202
"3","argentina_30","argentina","mu0.4k0.5",0.4,0.5,1.72,0.03,"c",280,29,59,911.86,NA,1.4,0.6,6.67,NA,NA,NA,NA,NA,NA,NA,150,140,NA,NA,1.3630271,NA,45.7,NA,NA,5.95,73.22,NA,NA,NA,NA,NA,NA,60,80,NA,NA,45,NA,12.655428471851,0.537654559703402,NA,0.514285714285714,NA,0.514285714285714,1,37.8182291666667,76.975,0,76.975,5.6,407.1,22.7946388705296,71.0712215183807,0.468605171911817,0.09375,0.208333333333333,4.5,3,10,4.5,4,35,0,0,0,0,0,0,1,46.8,1,0,0,0,7,0.388888888888889,1,0,0,0,5,1.5,1,0,0,0,46.8,1.88888888888889,1,12,1.5,47.1888888888889,0,0,0,0,0,0,0,0,48.6888888888889,0,0,0,0,0,0,0,0,0,0,0.388888888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,46.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.6888888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.6888888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2106540489865,10.1520351009003,18.4613791048504,32.1044776119403,23.8510572139303,17.3432835820896,3.92016669542836,2.42136770029402,3.20180933131883,0,46.8,0.16,0.25,2.9584,9e-04,0.693147180559945,0.916290731874155,NA,1.88888888888889,24.7764705882353,0.388888888888889,0,0,0,0,4.96897025290216,0.415023098791767,-0.102012968227463,0,0,1.5,0.388888888888889,0,46.8,48.6888888888889
"4","argentina_20","argentina","mu0.6k0.5",0.6,0.5,2.58,0.03,"a",600,35,58.5,981.87,257,18.3,7.5,6.61,NA,NA,NA,NA,NA,NA,NA,150,150,NA,NA,1.6101989,NA,36.4,7.2,3,5.88,23.34,NA,NA,NA,NA,NA,NA,80,80,NA,NA,52,NA,20.6925886586666,0.502304915039408,NA,0.466666666666667,NA,0.466666666666667,1,54.9818181818182,99.35,0,99.35,-96.575,438.025,27.5123092202835,52.2716842786399,0.543791728699692,0.0568181818181818,0.0795454545454545,2.5,2,3.5,2.5,4,43,0,0,0,0,0,0,0,0,0,3,0.247058823529412,1,8,3.28888888888889,2,0,0,0,15,1.39285714285714,1,2,0.6,1,0,5.52880485527544,0,28,1.39285714285714,4.1359477124183,0,0,0,0,0,0,0,0,5.52880485527544,0,0,0,0,0,0,0,0,0,0,0.388888888888889,0,0,0.247058823529412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.39285714285714,0,2.9,0,0,0.6,0,0,0,0,0,0,0,0,0.247058823529412,0,0,0,2.9,0,0,0,0,0,0,2.38174603174603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.247058823529412,0,0,0,0,0,2.38174603174603,0,0,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.5578659236367,10.2545891683247,17.4258233239676,29.4850746268657,23.577736318408,18.4626865671642,3.40784539285737,2.41779999464362,3.21727514205194,0,0,0.36,0.25,6.6564,9e-04,0.693147180559945,0.510825623765991,NA,5.28174603174603,0,0.388888888888889,0,0,0.6,0.247058823529412,1.87550175260063,0.141702203269382,0.000541099196917472,0.6,0.247058823529412,1.39285714285714,3.28888888888889,0,0,5.52880485527544
"5","argentina_29","argentina","mu0.8k0.5",0.8,0.5,3.45,0.03,"b",345,32,54,797.44,NA,18.2,6.9,6.65,NA,NA,NA,NA,NA,NA,NA,130,160,NA,NA,1.1570506,NA,52.3,17.8,7,6.43,25.16,NA,NA,NA,NA,NA,NA,90,70,NA,NA,58,NA,17.3652364665651,0.416129354011225,NA,0.435096153846154,NA,0.435096153846154,1,27.5994444444444,74,0,74,-33.25,349.6,23.1230368984104,83.3240132310418,0.378470926169136,0.0666666666666667,0.255555555555556,5.5,2,11.5,3,4,21,0,0,0,0,0,0,0,0,0,1,0.0823529411764706,1,12,0.666666666666667,1,0,0,0,7,0.8,1,0,0,0,0,1.54901960784314,0,20,0.8,0.749019607843137,0,0,0,0,0,0,0,0,1.54901960784314,0,0,0,0,0,0,0,0,0,0,0.666666666666667,0,0,0.0823529411764706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0823529411764706,0,0,0,0,0,0,0,0,0,0,1.46666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0823529411764706,0,0,0,0,0,1.46666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.6664416709125,9.69570126535451,16.5146797623211,31.3731343283582,24.0976368159204,18.6194029850746,3.66012841675494,2.33643487768173,3.07493477664113,0,0,0.64,0.25,11.9025,9e-04,0.693147180559945,0.22314355131421,NA,1.46666666666667,0,0.666666666666667,0,0,0,0.0823529411764706,6.15828496406855,0.661602700781817,-0.558346803773249,0,0.0823529411764706,0.8,0.666666666666667,0,0,1.54901960784314
"6","argentina_15","argentina","mu1k0.5",1,0.5,4.31,0.03,"b",230,29,70,843.93,230,16.9,6.3,6.74,NA,NA,NA,NA,NA,NA,NA,230,150,NA,NA,1.3469072,NA,71.4,16.1,6.3,6.52,2.36,NA,NA,NA,NA,NA,NA,130,40,NA,NA,20,NA,16.4811070228679,0.616815308006692,NA,0.584057971014493,NA,0.584057971014493,1,0.0566666666666667,2.55,0,2.55,0,0,0.380131556174964,670.820393249937,0.0222222222222222,0,1,24,0,45,0,4,65,0,0,0,0,0,0,0,0,0,0,0,0,2,0.111111111111111,1,0,0,0,6,0.6,1,0,0,0,0,0.711111111111111,0,8,0.6,0.111111111111111,0,0,0,0,0,0,0,0,0.711111111111111,0,0,0,0,0,0,0,0,0,0,0.111111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.711111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.711111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.7183017111687,10.3349885553936,18.2537808483823,30.2089552238806,23.4937810945274,17.8955223880597,3.5399765169262,2.42807958734863,3.2666094383896,0,0,1,0.25,18.5761,9e-04,0.693147180559945,0,NA,0.711111111111111,0,0.111111111111111,0,0,0,0,23.4937810945274,0.057746979388785,0.0809404862658649,0,0,0.6,0.111111111111111,0,0,0.711111111111111
"7","argentina_12","argentina","mu1.5k0.5",1.5,0.5,6.46,0.03,"c",435,35,55.5,946.79,205,17.6,6.6,6.85,NA,NA,NA,NA,NA,NA,NA,220,140,NA,NA,1.4167601,NA,30.1,NA,NA,6.4,0.011,NA,NA,NA,NA,NA,NA,110,60,NA,NA,75,NA,15.6582535804701,0.525000810764222,NA,0.535714285714286,NA,0.535714285714286,1,45.5026041666667,86.25,0,86.25,44.95,470.25,27.3208114405558,64.8084396096778,0.506803330543082,0.125,0.177083333333333,7,3.5,8.5,6,4,35,0,0,0,0,0,0,1,14.6,1,0,0,0,37,8.40971428571429,3,0,0,0,38,4.5,1,2,1.8,1,14.6,14.7097142857143,1,77,4.5,24.8097142857143,0,0,0,0,0,0,0,0,29.3097142857143,0,0,0,0,0,0,0,0,0,0,0.224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.88571428571429,0,0,0,4.5,0,6.3,0,14.6,1.8,0,0,0,0,0,0,0,0,0,0,0,0,6.3,0,0,0,0,1.88571428571429,0,21.124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.124,0,0,6.3,0,0,0,0,0,1.88571428571429,0,0,0,0,0,0,0,0,0,0,0,0,10.9222099773982,9.49514901619824,16.7652916388629,30.3208955223881,23.4884950248756,17.9477611940299,3.31171187598274,2.23026760427425,3.00899450682577,0,14.6,2.25,0.25,41.7316,9e-04,0.693147180559945,0.405465108108164,NA,14.7097142857143,0.992541372076762,0.224,0,0,1.8,0,4.15942099398839,0.052460909737043,-0.758899052929516,1.8,0,4.5,8.40971428571429,0,14.6,29.3097142857143
"8","argentina_3","argentina","mu2k0.5",2,0.5,8.62,0.03,"a",300,33,60,912.75,432,19.3,7.2,6.61,NA,NA,NA,NA,NA,NA,NA,270,140,NA,NA,1.844833,NA,416,18.5,7.4,6.54,0.011,NA,NA,NA,NA,NA,NA,80,60,NA,NA,53,NA,4.73663226891285,0.619309492020961,NA,0.637566137566138,NA,0.637566137566138,1,19.7465909090909,51.775,0,51.775,4.325,239.475,17.3868066115234,91.1169906377278,0.376728304495803,0.125,0.375,7,2,16.5,5.5,4,23,0,0,0,0,0,0,1,3,1,0,0,0,1,0.235714285714286,1,0,0,0,14,0.576470588235294,1,1,1.25454545454545,1,3,2.06673032849503,1,16,0.576470588235294,4.49025974025974,0,0,0,0,0,0,0,0,5.06673032849503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.235714285714286,0,0,0,0.576470588235294,0,0,0,3,1.25454545454545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.235714285714286,0,4.83101604278075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.83101604278075,0,0,0,0,0,0,0,0,0.235714285714286,0,0,0,0,0,0,0,0,0,0,0,0,11.4585839705236,11.2687830191926,18.5679530442191,29.2835820895522,23.1564054726368,17.865671641791,3.35548384330854,2.60944508775589,3.31728952148213,0,3,4,0.25,74.3044,9e-04,0.693147180559945,0.693147180559945,NA,2.06673032849503,1.45156818895891,0,0,0,1.25454545454545,0,8.68365205223881,-0.279628642501759,1.01473495006487,1.25454545454545,0,0.576470588235294,0.235714285714286,0,3,5.06673032849503
"9","argentina_11","argentina","mu2.5k0.5",2.5,0.5,10.77,0.03,"c",415,38,70.5,1467.83,335,8.2,3.2,6.39,NA,NA,NA,NA,NA,NA,NA,170,180,NA,NA,1.504524,NA,65.7,NA,NA,6.57,11.72,NA,NA,NA,NA,NA,NA,90,80,NA,NA,59,NA,25.5647264862073,0.481174645915657,NA,0.513071895424837,NA,0.513071895424837,1,29.5041666666667,71.175,0,71.175,9.4,509.4,23.9734758727109,83.9875605778358,0.40528343902997,0.09375,0.260416666666667,6,4,12.5,4.5,4,35,0,0,0,0,0,0,1,4.2,1,4,0.329411764705882,1,93,2.39038461538462,2,0,0,0,7,0.7,1,3,0.2,1,4.2,3.6197963800905,1,107,0.7,7.1197963800905,0,0,0,0,0,0,0,0,7.8197963800905,0,0,0,0,0,0,0,0,0,0,1.09038461538462,0,0,0.329411764705882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0,0,0,0.7,0,0,0,4.2,0.2,0,0,0,0,0,0,0,0,0.329411764705882,0,0,0,0,0,0,0,0,1.3,0,6.19038461538462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.329411764705882,0,0,0,0,0,6.19038461538462,0,0,0,0,0,0,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,10.4991288027303,10.4714404890799,18.4085565189068,29.1044776119403,22.9437189054726,17.1119402985075,3.05571659183942,2.40253787116834,3.15006120133233,0,4.2,6.25,0.25,115.9929,9e-04,0.693147180559945,0.916290731874155,NA,3.29038461538462,1.27644652250146,1.09038461538462,0,0,0.2,0.329411764705882,5.97492679830016,-0.492315209665943,0.217392419952136,0.2,0.329411764705882,0.7,2.39038461538462,0,4.2,7.8197963800905
"10","argentina_6","argentina","mu3k0.5",3,0.5,12.92,0.03,"c",210,28,52,504.96,NA,3.7,1.7,6.92,NA,NA,NA,NA,NA,NA,NA,150,190,NA,NA,1.6872162,NA,105.7,NA,NA,6.79,51.73,NA,NA,NA,NA,NA,NA,100,70,NA,NA,43,NA,20.3248748017359,0.561837015160726,NA,0.482456140350877,NA,0.482456140350877,1,11.5614583333333,53.15,0,53.15,18.2,300.6,13.9327130653111,124.164454388826,0.229809339599108,0.0416666666666667,0.46875,6,2,22.5,2,4,22,0,0,0,2,4.4,1,1,12.4,1,0,0,0,34,0.5625,2,0,0,0,6,0.363380281690141,1,1,1.1,1,16.8,2.02588028169014,3,41,4.76338028169014,14.0625,0,0,0,0,0,0,0,0,18.8258802816901,0,0,0,0,0,0,0,0,0,0,0.3625,0,0,0,0,0,0,0,0,0,0,0,4.4,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0.363380281690141,0,0,0,12.4,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,18.6258802816901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.6258802816901,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,10.1195993737715,10.0127905615085,14.958422476462,26.5970149253731,22.4819651741294,18.2910447761194,2.69151135582998,2.25107208699684,2.73605175297077,0,12.4,9,0.25,166.9264,9e-04,0.693147180559945,1.09861228866811,NA,2.02588028169014,8.2926914052316,0.3625,0,0,1.1,0,10.5384211753731,-0.954068941009226,-0.241257507619293,1.1,0,0.363380281690141,0.5625,4.4,12.4,18.8258802816901
