site_brom.id,site,mu,k,bwg_name,abundance,biomass,species_id,domain,kingdom,phylum,subphylum,class,subclass,ord,subord,family,subfamily,tribe,genus,species,subspecies,functional_group,predation,realm,micro_macro,barcode
argentina_1,argentina,0.1,0.5,Coleoptera.33,14,1.1052631578947367,6031,Eukaryota,Animalia,Arthropoda,NA,Insecta,Neoptera,Coleoptera,Polyphaga,Scirtidae,NA,NA,NA,NA,NA,scraper,prey,aquatic,macro,NA
argentina_1,argentina,0.1,0.5,Diptera.276,2,2.3,5761,Eukaryota,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Nematocera,Tipulidae,NA,NA,NA,NA,NA,shredder,prey,aquatic,macro,NA
argentina_1,argentina,0.1,0.5,Diptera.61,7,0.3888888888888889,3841,Eukaryota,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Nematocera,Chironomidae,NA,NA,NA,NA,NA,gatherer,prey,aquatic,macro,NA
argentina_10,argentina,2.5,1,Diptera.250,1,3,5636,Eukaryota,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Brachycera,Tabanidae,NA,NA,NA,NA,NA,piercer,predator,aquatic,macro,NA
argentina_10,argentina,2.5,1,Diptera.276,2,2.5090909090909093,5761,Eukaryota,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Nematocera,Tipulidae,NA,NA,NA,NA,NA,shredder,prey,aquatic,macro,NA
argentina_10,argentina,2.5,1,Diptera.61,6,0.08571428571428573,3841,Eukaryota,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Nematocera,Chironomidae,NA,NA,NA,NA,NA,gatherer,prey,aquatic,macro,NA
argentina_11,argentina,2.5,0.5,Coleoptera.33,7,0.7,6031,Eukaryota,Animalia,Arthropoda,NA,Insecta,Neoptera,Coleoptera,Polyphaga,Scirtidae,NA,NA,NA,NA,NA,scraper,prey,aquatic,macro,NA
argentina_11,argentina,2.5,0.5,Diptera.100,4,0.32941176470588235,4501,Eukaryota,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Nematocera,Culicidae,Culicinae,NA,Culex,NA,NA,filter.feeder,prey,aquatic,macro,NA
argentina_11,argentina,2.5,0.5,Diptera.195,30,1.3,5271,Eukaryota,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Nematocera,Psychodidae,Psychodinae,NA,Pericoma,NA,NA,gatherer,prey,aquatic,macro,NA
argentina_11,argentina,2.5,0.5,Diptera.250,1,4.2,5636,Eukaryota,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Brachycera,Tabanidae,NA,NA,NA,NA,NA,piercer,predator,aquatic,macro,NA
argentina_11,argentina,2.5,0.5,Diptera.277,3,0.2,5771,Eukaryota,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Nematocera,Tipulidae,NA,NA,NA,NA,NA,shredder,prey,aquatic,macro,NA
argentina_11,argentina,2.5,0.5,Diptera.61,63,1.0903846153846153,3841,Eukaryota,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Nematocera,Chironomidae,NA,NA,NA,NA,NA,gatherer,prey,aquatic,macro,NA
argentina_12,argentina,1.5,0.5,Coleoptera.33,38,4.5,6031,Eukaryota,Animalia,Arthropoda,NA,Insecta,Neoptera,Coleoptera,Polyphaga,Scirtidae,NA,NA,NA,NA,NA,scraper,prey,aquatic,macro,NA
argentina_12,argentina,1.5,0.5,Diptera.195,8,1.8857142857142857,5271,Eukaryota,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Nematocera,Psychodidae,Psychodinae,NA,Pericoma,NA,NA,gatherer,prey,aquatic,macro,NA
argentina_12,argentina,1.5,0.5,Diptera.249,1,6.3,5631,Eukaryota,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Brachycera,Tabanidae,NA,NA,NA,NA,NA,piercer,predator,aquatic,macro,NA
argentina_12,argentina,1.5,0.5,Diptera.250,1,14.6,5636,Eukaryota,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Brachycera,Tabanidae,NA,NA,NA,NA,NA,piercer,predator,aquatic,macro,NA
argentina_12,argentina,1.5,0.5,Diptera.277,2,1.8,5771,Eukaryota,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Nematocera,Tipulidae,NA,NA,NA,NA,NA,shredder,prey,aquatic,macro,NA
argentina_12,argentina,1.5,0.5,Diptera.61,28,0.224,3841,Eukaryota,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Nematocera,Chironomidae,NA,NA,NA,NA,NA,gatherer,prey,aquatic,macro,NA
argentina_13,argentina,0.4,1,Coleoptera.17,1,4.4,5016,Eukaryota,Animalia,Arthropoda,NA,Insecta,Neoptera,Coleoptera,Polyphaga,Hydrophilidae,NA,NA,NA,NA,NA,engulfer,predator,aquatic,macro,NA
argentina_13,argentina,0.4,1,Coleoptera.33,6,0.4,6031,Eukaryota,Animalia,Arthropoda,NA,Insecta,Neoptera,Coleoptera,Polyphaga,Scirtidae,NA,NA,NA,NA,NA,scraper,prey,aquatic,macro,NA
argentina_13,argentina,0.4,1,Diptera.146,2,39.199999999999996,5516,Eukaryota,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Brachycera,Syrphidae,Eristalinae,NA,Eristalis,NA,NA,gatherer,prey,aquatic,macro,NA
