"","site_brom.id","site","mu","k","species","abundance","biomass","key","name0","Domain","Kingdom","Phyllum","Sub.Phyllum","class","Sub.Class","ord","subord","family","subfamily","genus","species.y","name1","name2","name3","realm","functional_group","micro_macro","predation","BS1","BS2","BS3","BS4","BS5","AS1","AS2","AS3","AS4","RE1","RE2","RE3","RE4","RE5","RE6","RE7","RE8","DM1","DM2","RF1","RF2","RF3","RF4","RM1","RM2","RM3","RM4","RM5","LO1","LO2","LO3","LO4","LO5","LO6","LO7","FD1","FD2","FD3","FD4","FD5","FD6","FD7","FD8","FG1","FG2","FG3","FG4","FG5","FG6"
"1","argentina_1","argentina",0.1,0.5,"Coleoptera.33",14,1.10526315789474,"k59","Scirtidae sp. 5545","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Coleoptera","Polyphaga","Scirtidae",NA,NA,NA,NA,NA,NA,"aquatic","scraper","macro","prey",0,0,3,3,0,3,3,0,0,0,0,0,3,1,0,3,0,0,3,0,0,0,3,1,0,3,3,0,1,0,0,3,0,1,0,3,3,3,0,0,0,0,0,0,2,3,0,0,0
"2","argentina_1","argentina",0.1,0.5,"Diptera.276",2,2.3,"k539","Tipulidae sp. 5552","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Tipulidae",NA,NA,NA,NA,NA,NA,"aquatic","shredder","macro","prey",0,0,0,3,0,3,3,1,0,0,0,0,3,3,0,0,0,0,3,0,0,0,3,1,3,0,3,0,0,0,0,0,3,0,0,1,1,3,0,1,0,0,1,1,3,0,0,0,1
"3","argentina_1","argentina",0.1,0.5,"Diptera.61",7,0.388888888888889,"k188","Chironomidae sp. 5551","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Chironomidae",NA,NA,NA,NA,NA,NA,"aquatic","gatherer","macro","prey",0,0,3,0,0,3,3,3,0,0,0,0,2,2,0,0,0,3,1,1,0,1,2,3,1,0,0,0,0,0,0,3,1,0,3,3,3,1,3,0,0,0,0,1,0,1,2,0,0
"4","argentina_10","argentina",2.5,1,"Diptera.250",1,3,"k515","Tabanidae sp. 5576","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Brachycera","Tabanidae",NA,NA,NA,NA,NA,NA,"aquatic","piercer","macro","predator",0,0,0,3,3,1,2,0,0,0,0,0,3,0,0,2,0,0,3,0,0,1,3,0,0,0,3,0,0,1,0,3,1,0,0,0,1,1,0,0,0,0,3,1,0,0,0,3,0
"5","argentina_10","argentina",2.5,1,"Diptera.276",2,2.50909090909091,"k539","Tipulidae sp. 5552","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Tipulidae",NA,NA,NA,NA,NA,NA,"aquatic","shredder","macro","prey",0,0,0,3,0,3,3,1,0,0,0,0,3,3,0,0,0,0,3,0,0,0,3,1,3,0,3,0,0,0,0,0,3,0,0,1,1,3,0,1,0,0,1,1,3,0,0,0,1
"6","argentina_10","argentina",2.5,1,"Diptera.61",6,0.0857142857142857,"k188","Chironomidae sp. 5551","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Chironomidae",NA,NA,NA,NA,NA,NA,"aquatic","gatherer","macro","prey",0,0,3,0,0,3,3,3,0,0,0,0,2,2,0,0,0,3,1,1,0,1,2,3,1,0,0,0,0,0,0,3,1,0,3,3,3,1,3,0,0,0,0,1,0,1,2,0,0
"7","argentina_11","argentina",2.5,0.5,"Coleoptera.33",7,0.7,"k59","Scirtidae sp. 5545","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Coleoptera","Polyphaga","Scirtidae",NA,NA,NA,NA,NA,NA,"aquatic","scraper","macro","prey",0,0,3,3,0,3,3,0,0,0,0,0,3,1,0,3,0,0,3,0,0,0,3,1,0,3,3,0,1,0,0,3,0,1,0,3,3,3,0,0,0,0,0,0,2,3,0,0,0
"8","argentina_11","argentina",2.5,0.5,"Diptera.100",4,0.329411764705882,"k307","Culex sp. 5549","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Culicidae","Culicinae","Culex",NA,NA,NA,NA,"aquatic","filter.feeder","macro","prey",0,3,0,0,0,2,3,3,0,0,0,0,1,3,1,1,0,1,3,0,0,2,0,0,0,0,3,0,0,2,3,0,0,0,0,3,2,0,3,0,0,0,0,2,0,0,3,0,0
"9","argentina_11","argentina",2.5,0.5,"Diptera.195",30,1.3,"k448","Pericoma cf. sp. 5544","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Psychodidae","Psychodinae","Pericoma",NA,NA,NA,NA,"aquatic","gatherer","macro","prey",0,0,3,0,0,3,3,3,0,0,2,0,0,2,0,0,0,1,3,0,0,2,2,0,0,0,3,0,0,1,0,2,3,0,0,1,3,2,2,1,1,0,0,3,0,0,0,0,0
"10","argentina_11","argentina",2.5,0.5,"Diptera.250",1,4.2,"k515","Tabanidae sp. 5576","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Brachycera","Tabanidae",NA,NA,NA,NA,NA,NA,"aquatic","piercer","macro","predator",0,0,0,3,3,1,2,0,0,0,0,0,3,0,0,2,0,0,3,0,0,1,3,0,0,0,3,0,0,1,0,3,1,0,0,0,1,1,0,0,0,0,3,1,0,0,0,3,0
"11","argentina_11","argentina",2.5,0.5,"Diptera.277",3,0.2,"k540","Tipulidae sp. 5559","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Tipulidae",NA,NA,NA,NA,NA,NA,"aquatic","shredder","macro","prey",0,0,0,3,0,3,3,1,0,0,0,0,3,3,0,0,0,0,3,0,0,0,3,1,3,0,3,0,0,0,0,0,3,0,0,1,1,3,0,1,0,0,1,1,3,0,0,0,1
"12","argentina_11","argentina",2.5,0.5,"Diptera.61",63,1.09038461538462,"k188","Chironomidae sp. 5551","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Chironomidae",NA,NA,NA,NA,NA,NA,"aquatic","gatherer","macro","prey",0,0,3,0,0,3,3,3,0,0,0,0,2,2,0,0,0,3,1,1,0,1,2,3,1,0,0,0,0,0,0,3,1,0,3,3,3,1,3,0,0,0,0,1,0,1,2,0,0
"13","argentina_12","argentina",1.5,0.5,"Coleoptera.33",38,4.5,"k59","Scirtidae sp. 5545","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Coleoptera","Polyphaga","Scirtidae",NA,NA,NA,NA,NA,NA,"aquatic","scraper","macro","prey",0,0,3,3,0,3,3,0,0,0,0,0,3,1,0,3,0,0,3,0,0,0,3,1,0,3,3,0,1,0,0,3,0,1,0,3,3,3,0,0,0,0,0,0,2,3,0,0,0
