"","argentina","cardoso","colombia","costarica","frenchguiana","macae","puertorico"
"maxvol",331.333333333333,1050.03333333333,420.245869230087,176.733333333333,232.166666666667,1000,354.766666666667
"leaf.number",31.8,32.6,23.6333333333333,25.8666666666667,14.2,17.7333333333333,24.5333333333333
"mean.diam",61.6666666666667,88.3166666666667,95.1498833333333,96.7066666666667,71.6833333333333,40.1166666666667,79.7666666666667
"catchment.area",1039.533,NA,2297.868,2089.5907,1043.46666666667,1261.82526666667,1110.135
"turbidity.initial",270.804761904762,41.7316666666667,254.81,117.487666666667,NA,8.77233333333333,227.16885
"oxygen.percent.initial",11.8642857142857,NA,NA,53.4333333333333,NA,24.0586206896552,NA
"oxygen.conc.initial",4.6,NA,NA,4.43666666666667,NA,1.91172413793103,NA
"ph.initial",6.45107142857143,5.35,4.81428571428571,6.033,NA,6.166,5.24375
"chlorophyll.initial",NA,-3.163428,4775.33333333333,458.296727,NA,-7.03739999999999,NA
"bacteria.per.ml..initial",NA,905948.744060093,NA,16514694.939394,18950153.9463685,810279.923392639,NA
"amoeba.per.ml.initial",NA,NA,NA,NA,NA,NA,NA
"algae.per.ml.initial",NA,NA,NA,NA,NA,NA,NA
"ciliates.per.ml.initial",NA,NA,NA,NA,NA,NA,NA
"flagellates.per.ml.initial",NA,NA,NA,NA,NA,NA,NA
"rotifers.per.ml.initial",NA,NA,NA,NA,NA,NA,NA
"leafpack1.species1.mass.initial",171.333333333333,217.033333333333,4000,402.466666666667,743.1,173.666666666667,0.273066666666667
"leafpack2.species1.mass.initial",168,211.98,4000,390.285714285714,NA,175,NA
"leafpack1.species2.mass.initial",NA,NA,3000,NA,469.366666666667,NA,0.400233333333333
"leafpack2.species2.mass.initial",NA,NA,3000,NA,NA,NA,NA
"co2.final",1.58309358666667,NA,1.91695592890476,10.3920426642551,23.3279701770978,42.2965239647063,NA
"methane.final",NA,NA,0.414317035857143,NA,0.0448094170884822,0.11691014066155,NA
"turbidity.final",64.9566666666667,269.373,227.947826086957,1706.12333333333,NA,36.73,155.528
"oxygen.percent.final",10.8,NA,16.28,49.1333333333333,40.5172413793103,15.1633333333333,NA
"oxygen.conc.final",7.24285714285714,NA,NA,4.02333333333333,NA,1.29366666666667,NA
"ph.final",6.13133333333333,4.98444444444444,5.975,6.10166666666667,4.89844827586207,6.48733333333333,4.10590909090909
"chlorophyll.final",14.963275862069,86.48546,4337.04166666667,14.677344,490.356153846154,12.6251461131992,NA
"bacteria.per.ml.final",NA,5060131.31440613,1242789.3689442,3597744.92557402,10383385.9756667,11215562.4883614,35284897.2777861
"amoeba.per.ml.final",NA,NA,NA,33.0384615384615,NA,NA,NA
"algae.per.ml.final",NA,NA,NA,0.0769230769230769,NA,NA,NA
"ciliates.per.ml.final",NA,NA,NA,30.4615384615385,0,NA,NA
"flagellates.per.ml.final",NA,NA,NA,NA,0,NA,NA
"rotifers.per.ml.final",NA,NA,NA,NA,7.73333333333333,NA,NA
"leafpack1.species1.mass.final",80.6666666666667,167.736666666667,3046.33333333333,256.333333333333,702.46,63.7931034482759,0.19941
"leafpack2.species1.mass.final",74.6666666666667,159.706666666667,3124.48275862069,253.714285714286,NA,70,NA
"leafpack1.species2.mass.final",NA,NA,2078,NA,436.79,NA,0.169046666666667
"leafpack2.species2.mass.final",NA,NA,2102.33333333333,NA,NA,NA,NA
"water.volume.final",84.8666666666667,559.483333333333,69.5,47.4,65.4666666666667,484.666666666667,45.6666666666667
"fpom.final",NA,398.844317559635,2338.23773525714,804.633333333333,217.785809523809,716.333333333333,359.15889
"n15.bromeliad.final",27.3285241327795,4.18463632661915,4.54137499822943,7.34519971168113,4.20082186274071,62.5197738333137,3.17218329608368
"final.bromeliad.percentn",0.522135373525001,0.55036936834578,0.700344505410648,0.454097660028106,0.812265081937161,0.428202657423898,0.627876891815188
"final.bromeliad.percentc",NA,NA,45.2716666666667,43.6252144592106,44.9835117349429,NA,45.6841275776029
"species1",0.535219030505016,0.236876336859518,0.228708333333333,0.364620919848388,0.0561808070123404,0.615437295475995,0.271857453138244
"species2",NA,NA,0.303277777777778,NA,0.0716291258126315,NA,0.581335667176892
"decomp",0.535219030505016,0.236876336859518,0.265993055555556,0.364620919848388,0.0639049664124859,0.615437295475995,0.426596560157568
"sample_size_species",1,1,2,1,2,1,2
"engulfer_bio",0.66,6.70549660531336,0,0.9580542579,0.141616666666667,1.11677626113333,0.316876666666667
"filter.feeder_bio",0.164002489884843,2.24817401960784,0.0689723800243208,0.08,0.315087,1.45944633133333,0.72746
"gatherer_bio",4.18768188312662,11.6570550655392,6.82656956059999,12.9229668070333,0.123333333333333,5.38887065716667,0.680043333333333
"piercer_bio",6.78,3.78006334841629,0.00869333333333333,3.72108241493333,1.7493,4.5372630402,0
"scraper_bio",2.02973066332484,16.7801629327902,2.85004143836667,0.602041329033333,10.51798,3.28893671896667,4.35022333333333
"shredder_bio",1.09348484848485,2.68353801169591,0.0336,1.85414166266667,2.72175,2.792586082,8.03449
"engulfer_abd",0.266666666666667,188.333333333333,0,0.766666666666667,3.33333333333333,40.4666666666667,1.43333333333333
"filter.feeder_abd",2.8,18.7333333333333,0.1,0.8,6.73333333333333,34.9,10.9333333333333
