"","site_brom.id","species","Domain","Kingdom","Phyllum","Sub.Phyllum","class","Sub.Class","ord","subord","family","subfamily","genus","species.y","name1","name2","name3","realm","functional_group","micro_macro","predation"
"1","cardoso_DEC03","Nematoda.1","Eukaryota","Animalia","Nematoda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aquatic",NA,"macro",NA
"2","cardoso_DEC07","Nematoda.1","Eukaryota","Animalia","Nematoda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aquatic",NA,"macro",NA
"3","cardoso_DEC08","Nematoda.1","Eukaryota","Animalia","Nematoda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aquatic",NA,"macro",NA
"4","cardoso_DEC12","Nematoda.1","Eukaryota","Animalia","Nematoda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aquatic",NA,"macro",NA
"5","cardoso_DEC15","Nematoda.1","Eukaryota","Animalia","Nematoda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aquatic",NA,"macro",NA
"6","cardoso_DEC16","Diptera.528","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Brachycera",NA,NA,NA,NA,NA,NA,NA,"aquatic",NA,"macro",NA
"7","cardoso_DEC16","Nematoda.1","Eukaryota","Animalia","Nematoda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aquatic",NA,"macro",NA
"8","cardoso_DEC17","Nematoda.1","Eukaryota","Animalia","Nematoda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aquatic",NA,"macro",NA
"9","cardoso_DEC23","Nematoda.1","Eukaryota","Animalia","Nematoda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aquatic",NA,"macro",NA
"10","cardoso_DEC24","Nematoda.1","Eukaryota","Animalia","Nematoda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aquatic",NA,"macro",NA
"11","cardoso_DEC28","Nematoda.1","Eukaryota","Animalia","Nematoda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aquatic",NA,"macro",NA
"12","cardoso_DEC31","Diptera.179","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Brachycera",NA,NA,NA,NA,NA,NA,NA,"aquatic",NA,"macro",NA
"13","cardoso_DEC32","Nematoda.1","Eukaryota","Animalia","Nematoda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aquatic",NA,"macro",NA
"14","cardoso_DEC34","Nematoda.1","Eukaryota","Animalia","Nematoda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aquatic",NA,"macro",NA
"15","cardoso_DEC35","Nematoda.1","Eukaryota","Animalia","Nematoda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aquatic",NA,"macro",NA
"16","cardoso_DEC36","Diptera.179","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Brachycera",NA,NA,NA,NA,NA,NA,NA,"aquatic",NA,"macro",NA
"17","cardoso_DEC38","Nematoda.1","Eukaryota","Animalia","Nematoda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aquatic",NA,"macro",NA
"18","cardoso_DEC39","Nematoda.1","Eukaryota","Animalia","Nematoda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aquatic",NA,"macro",NA
"19","cardoso_DEC43","Nematoda.1","Eukaryota","Animalia","Nematoda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aquatic",NA,"macro",NA
"20","cardoso_DEC47","Nematoda.1","Eukaryota","Animalia","Nematoda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aquatic",NA,"macro",NA
"21","cardoso_DEC53","Nematoda.1","Eukaryota","Animalia","Nematoda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aquatic",NA,"macro",NA
"22","cardoso_DEC54","Diptera.179","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Brachycera",NA,NA,NA,NA,NA,NA,NA,"aquatic",NA,"macro",NA
"23","colombia_1","Diptera.494","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera",NA,NA,NA,NA,NA,NA,NA,NA,"aquatic",NA,"macro",NA
"24","colombia_14","Diptera.494","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera",NA,NA,NA,NA,NA,NA,NA,NA,"aquatic",NA,"macro",NA
"25","colombia_21","Diptera.494","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera",NA,NA,NA,NA,NA,NA,NA,NA,"aquatic",NA,"macro",NA
"26","colombia_27","Diptera.494","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera",NA,NA,NA,NA,NA,NA,NA,NA,"aquatic",NA,"macro",NA
"27","colombia_4","Diptera.494","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera",NA,NA,NA,NA,NA,NA,NA,NA,"aquatic",NA,"macro",NA
"28","colombia_6","Diptera.494","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera",NA,NA,NA,NA,NA,NA,NA,NA,"aquatic",NA,"macro",NA
"29","frenchguiana_41","Diptera.437","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Brachycera",NA,NA,NA,NA,NA,NA,NA,"aquatic",NA,"macro",NA
"30","frenchguiana_75","Diptera.440","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera",NA,NA,NA,NA,NA,NA,NA,"aquatic",NA,"macro",NA
"31","macae_B10","Coleoptera.56","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Coleoptera","Polyphaga","Elateridae",NA,NA,NA,NA,NA,NA,"aquatic",NA,"macro",NA
"32","macae_B10","Diptera.474","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Brachycera","Muscidae",NA,NA,NA,NA,NA,NA,"aquatic",NA,"macro",NA
"33","macae_B10","Diptera.483","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Ceratopogonidae",NA,NA,NA,NA,NA,NA,"aquatic",NA,"macro",NA
"34","macae_B11","Diptera.483","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Ceratopogonidae",NA,NA,NA,NA,NA,NA,"aquatic",NA,"macro",NA
"35","macae_B12","Diptera.483","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Ceratopogonidae",NA,NA,NA,NA,NA,NA,"aquatic",NA,"macro",NA
"36","macae_B14","Diptera.483","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Ceratopogonidae",NA,NA,NA,NA,NA,NA,"aquatic",NA,"macro",NA
"37","macae_B16","Diptera.483","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Ceratopogonidae",NA,NA,NA,NA,NA,NA,"aquatic",NA,"macro",NA
"38","macae_B2","Diptera.476","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera",NA,NA,NA,NA,NA,NA,NA,NA,"aquatic",NA,"macro",NA
"39","macae_B2","Diptera.483","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Ceratopogonidae",NA,NA,NA,NA,NA,NA,"aquatic",NA,"macro",NA
"40","macae_B22","Diptera.483","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Ceratopogonidae",NA,NA,NA,NA,NA,NA,"aquatic",NA,"macro",NA
"41","macae_B23","Diptera.483","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Ceratopogonidae",NA,NA,NA,NA,NA,NA,"aquatic",NA,"macro",NA
"42","macae_B24","Diptera.474","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Brachycera","Muscidae",NA,NA,NA,NA,NA,NA,"aquatic",NA,"macro",NA
"43","macae_B24","Diptera.483","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Ceratopogonidae",NA,NA,NA,NA,NA,NA,"aquatic",NA,"macro",NA
"44","macae_B27","Diptera.483","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Ceratopogonidae",NA,NA,NA,NA,NA,NA,"aquatic",NA,"macro",NA
"45","macae_B28","Diptera.474","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Brachycera","Muscidae",NA,NA,NA,NA,NA,NA,"aquatic",NA,"macro",NA
"46","macae_B28","Diptera.483","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Ceratopogonidae",NA,NA,NA,NA,NA,NA,"aquatic",NA,"macro",NA
"47","macae_B3","Coleoptera.56","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Coleoptera","Polyphaga","Elateridae",NA,NA,NA,NA,NA,NA,"aquatic",NA,"macro",NA
"48","macae_B3","Diptera.483","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Ceratopogonidae",NA,NA,NA,NA,NA,NA,"aquatic",NA,"macro",NA
"49","macae_B31","Coleoptera.54","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Coleoptera","Polyphaga","Curculionidae",NA,NA,NA,NA,NA,NA,"aquatic",NA,"macro",NA
"50","macae_B33","Diptera.483","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Ceratopogonidae",NA,NA,NA,NA,NA,NA,"aquatic",NA,"macro",NA
