"X","site_brom.id","site","trt.name","mu.scalar","k.scalar","intended.mu","intended.k","temporal.block","maxvol","leaf.number","mean.diam","catchment.area","turbidity.initial","oxygen.percent.initial","oxygen.conc.initial","ph.initial","chlorophyll.initial","bacteria.per.ml..initial","amoeba.per.ml.initial","algae.per.ml.initial","ciliates.per.ml.initial","flagellates.per.ml.initial","rotifers.per.ml.initial","leafpack1.species1.mass.initial","leafpack2.species1.mass.initial","leafpack1.species2.mass.initial","leafpack2.species2.mass.initial","co2.final","methane.final","turbidity.final","oxygen.percent.final","oxygen.conc.final","ph.final","chlorophyll.final","bacteria.per.ml.final","amoeba.per.ml.final","algae.per.ml.final","ciliates.per.ml.final","flagellates.per.ml.final","rotifers.per.ml.final","leafpack1.species1.mass.final","leafpack2.species1.mass.final","leafpack1.species2.mass.final","leafpack2.species2.mass.final","water.volume.final","fpom.final","n15.bromeliad.final","final.bromeliad.percentn","final.bromeliad.percentc","species1","species2","decomp","sample_size_species","functional_group","engulfer_bio","filter.feeder_bio","gatherer_bio","piercer_bio","scraper_bio","shredder_bio","engulfer_abd","filter.feeder_abd","gatherer_abd","piercer_abd","scraper_abd","shredder_abd","predator_bio","prey_bio","predator_abd","prey_abd","cv.depth","wetness","prop.overflow.days","prop.driedout.days","n_driedout","n_overflow","days_last_catastrophe","type_catastrophe","mu.scalar.2","k.scalar.2","intended.mu.2","intended.k.2","detritivore_bio","PDratio"
1,"argentina_1","argentina","mu0.1k0.5",0.1,0.5,0.43,0.03,"b",280,30,70.5,1146.52,NA,16.6,5.9,6.5,NA,NA,NA,NA,NA,NA,NA,170,140,NA,NA,1.56721,NA,376,17.5,69,6.4,9.32,NA,NA,NA,NA,NA,NA,100,70,NA,NA,45,NA,7.06507,0.434883,NA,0.455882,NA,0.455882,1,"gatherer",0,0,0.388889,0,0,0,0,0,7,0,0,0,0,3.79415,0,23,227.632,0.125169,0.0333333,0.777778,35,1.5,4,"driedout",0.01,0.25,0.1849,0.0009,0.388889,0
2,"argentina_1","argentina","mu0.1k0.5",0.1,0.5,0.43,0.03,"b",280,30,70.5,1146.52,NA,16.6,5.9,6.5,NA,NA,NA,NA,NA,NA,NA,170,140,NA,NA,1.56721,NA,376,17.5,69,6.4,9.32,NA,NA,NA,NA,NA,NA,100,70,NA,NA,45,NA,7.06507,0.434883,NA,0.455882,NA,0.455882,1,"scraper",0,0,0,0,1.10526,0,0,0,0,0,14,0,0,3.79415,0,23,227.632,0.125169,0.0333333,0.777778,35,1.5,4,"driedout",0.01,0.25,0.1849,0.0009,1.10526,0
3,"argentina_1","argentina","mu0.1k0.5",0.1,0.5,0.43,0.03,"b",280,30,70.5,1146.52,NA,16.6,5.9,6.5,NA,NA,NA,NA,NA,NA,NA,170,140,NA,NA,1.56721,NA,376,17.5,69,6.4,9.32,NA,NA,NA,NA,NA,NA,100,70,NA,NA,45,NA,7.06507,0.434883,NA,0.455882,NA,0.455882,1,"shredder",0,0,0,0,0,2.3,0,0,0,0,0,2,0,3.79415,0,23,227.632,0.125169,0.0333333,0.777778,35,1.5,4,"driedout",0.01,0.25,0.1849,0.0009,2.3,0
4,"argentina_26","argentina","mu0.2k0.5",0.2,0.5,0.86,0.03,"c",340,30,67,1380.95,214,2.9,1.2,6.54,NA,NA,NA,NA,NA,NA,NA,170,120,NA,NA,3.08607,NA,25.7,NA,NA,5.95,17.04,NA,NA,NA,NA,NA,NA,60,60,NA,NA,60,NA,19.3128,0.648989,NA,0.573529,NA,0.573529,1,"gatherer",0,0,0.611111,0,0,0,0,0,11,0,0,0,0,2.95202,1,36,157.931,0.160038,0.0416667,0.59375,28.5,2,4,"driedout",0.04,0.25,0.7396,0.0009,0.611111,0
5,"argentina_26","argentina","mu0.2k0.5",0.2,0.5,0.86,0.03,"c",340,30,67,1380.95,214,2.9,1.2,6.54,NA,NA,NA,NA,NA,NA,NA,170,120,NA,NA,3.08607,NA,25.7,NA,NA,5.95,17.04,NA,NA,NA,NA,NA,NA,60,60,NA,NA,60,NA,19.3128,0.648989,NA,0.573529,NA,0.573529,1,"piercer",0,0,0,16.9,0,0,0,0,0,1,0,0,16.9,2.95202,1,36,157.931,0.160038,0.0416667,0.59375,28.5,2,4,"driedout",0.04,0.25,0.7396,0.0009,0,Inf
6,"argentina_26","argentina","mu0.2k0.5",0.2,0.5,0.86,0.03,"c",340,30,67,1380.95,214,2.9,1.2,6.54,NA,NA,NA,NA,NA,NA,NA,170,120,NA,NA,3.08607,NA,25.7,NA,NA,5.95,17.04,NA,NA,NA,NA,NA,NA,60,60,NA,NA,60,NA,19.3128,0.648989,NA,0.573529,NA,0.573529,1,"scraper",0,0,0,0,0.940909,0,0,0,0,0,23,0,0,2.95202,1,36,157.931,0.160038,0.0416667,0.59375,28.5,2,4,"driedout",0.04,0.25,0.7396,0.0009,0.940909,0
7,"argentina_26","argentina","mu0.2k0.5",0.2,0.5,0.86,0.03,"c",340,30,67,1380.95,214,2.9,1.2,6.54,NA,NA,NA,NA,NA,NA,NA,170,120,NA,NA,3.08607,NA,25.7,NA,NA,5.95,17.04,NA,NA,NA,NA,NA,NA,60,60,NA,NA,60,NA,19.3128,0.648989,NA,0.573529,NA,0.573529,1,"shredder",0,0,0,0,0,1.4,0,0,0,0,0,2,0,2.95202,1,36,157.931,0.160038,0.0416667,0.59375,28.5,2,4,"driedout",0.04,0.25,0.7396,0.0009,1.4,0
8,"argentina_30","argentina","mu0.4k0.5",0.4,0.5,1.72,0.03,"c",280,29,59,911.86,NA,1.4,0.6,6.67,NA,NA,NA,NA,NA,NA,NA,150,140,NA,NA,1.36303,NA,45.7,NA,NA,5.95,73.22,NA,NA,NA,NA,NA,NA,60,80,NA,NA,45,NA,12.6554,0.537655,NA,0.514286,NA,0.514286,1,"gatherer",0,0,0.388889,0,0,0,0,0,7,0,0,0,0,1.88889,1,12,71.0712,0.468605,0.09375,0.208333,10,4.5,4,"driedout",0.16,0.25,2.9584,0.0009,0.388889,0
9,"argentina_30","argentina","mu0.4k0.5",0.4,0.5,1.72,0.03,"c",280,29,59,911.86,NA,1.4,0.6,6.67,NA,NA,NA,NA,NA,NA,NA,150,140,NA,NA,1.36303,NA,45.7,NA,NA,5.95,73.22,NA,NA,NA,NA,NA,NA,60,80,NA,NA,45,NA,12.6554,0.537655,NA,0.514286,NA,0.514286,1,"piercer",0,0,0,46.8,0,0,0,0,0,1,0,0,46.8,1.88889,1,12,71.0712,0.468605,0.09375,0.208333,10,4.5,4,"driedout",0.16,0.25,2.9584,0.0009,0,Inf
10,"argentina_30","argentina","mu0.4k0.5",0.4,0.5,1.72,0.03,"c",280,29,59,911.86,NA,1.4,0.6,6.67,NA,NA,NA,NA,NA,NA,NA,150,140,NA,NA,1.36303,NA,45.7,NA,NA,5.95,73.22,NA,NA,NA,NA,NA,NA,60,80,NA,NA,45,NA,12.6554,0.537655,NA,0.514286,NA,0.514286,1,"scraper",0,0,0,0,1.5,0,0,0,0,0,5,0,0,1.88889,1,12,71.0712,0.468605,0.09375,0.208333,10,4.5,4,"driedout",0.16,0.25,2.9584,0.0009,1.5,0
