site,sampletime,intended.mu,intended.k,site_capital
argentina,Year1,4.786770901280145,0.07772893016933594,Argentina
argentina,Year10,8.85192631879792,0.09147424676076027,Argentina
argentina,Year11,2.048901221566011,0.06553446732810918,Argentina
argentina,Year12,1.6637911185583145,0.032030077097133486,Argentina
argentina,Year13,5.78072844404589,0.053546291823524717,Argentina
argentina,Year14,4.686217964378311,0.05869349234748545,Argentina
argentina,Year15,2.4857744135717152,0.039679251100386406,Argentina
argentina,Year16,1.8156697723631114,0.0364974833288448,Argentina
argentina,Year17,4.451596858097838,0.06580825572951338,Argentina
argentina,Year19,10.615989349262563,0.08230668043208894,Argentina
argentina,Year2,2.635135183525616,0.01759760109448842,Argentina
argentina,Year20,4.991209582664045,0.03889442282557498,Argentina
argentina,Year21,4.584144613411459,0.044882756380659916,Argentina
argentina,Year22,3.254467648802109,0.03741395099551637,Argentina
argentina,Year23,4.467480557674694,0.028852327587887545,Argentina
argentina,Year24,3.9012250734281873,0.05481548547370302,Argentina
argentina,Year25,2.4984145747418274,0.040664288388708766,Argentina
argentina,Year26,8.295344633811414,0.08993624527255106,Argentina
argentina,Year27,1.4839533563942535,0.033671667438108004,Argentina
argentina,Year3,8.340532886019382,0.053950983782792145,Argentina
argentina,Year4,3.3976635481489366,0.06165180702552857,Argentina
argentina,Year5,2.201659491401582,0.04851901315086064,Argentina
argentina,Year6,3.1321881848448045,0.058285631960103376,Argentina
argentina,Year7,6.470389323934519,0.05192189847131797,Argentina
argentina,Year8,3.5679062853665116,0.07926670068413753,Argentina
argentina,Year9,4.88550636697102,0.050762635595800285,Argentina
cardoso,year2007,6.4520393846447295,0.15214582669868834,Cardoso
cardoso,year2008,8.736433054273945,0.2315786396153271,Cardoso
cardoso,year2009,9.89750336043435,0.16254518297937476,Cardoso
cardoso,year2010,6.630271277041709,0.18840354581952856,Cardoso
cardoso,year2011,6.069004253582155,0.23860093634793855,Cardoso
colombia,1996,8.502901537169237,0.45303972361143663,Colombia
colombia,1997,9.187251371823763,0.30664479968457975,Colombia
colombia,1998,11.397757841600106,0.3971718908287584,Colombia
colombia,1999,8.98258251817533,0.41051040793681737,Colombia
colombia,2000,5.400145186201414,0.9484098966610874,Colombia
colombia,2001,4.866842651417503,0.46098953867028153,Colombia
colombia,2002,9.567423501057785,0.5375231876387263,Colombia
colombia,2003,9.052122193507966,0.33572724526165987,Colombia
colombia,2004,9.864211208105552,0.4812670482089742,Colombia
colombia,2005,7.1482524661369045,0.28652001169539276,Colombia
colombia,2006,9.715663246926852,0.6783802231308075,Colombia
colombia,2007,9.199345959385392,0.665049228374846,Colombia
colombia,2008,11.451149382037688,0.680068500357447,Colombia
colombia,2009,9.383617171041056,0.3825816844046563,Colombia
colombia,2010,8.468385540319645,0.3489096580342448,Colombia
colombia,2011,11.2821041150135,0.6014733783667906,Colombia
colombia,2012,8.268256058014963,0.44042041675274946,Colombia
costarica,yr2006,9.46653528763563,0.5358248447417282,Costa Rica
costarica,yr2007,13.663680810935325,0.5870973671087989,Costa Rica
costarica,yr2008,13.303477570262105,0.45911772592444267,Costa Rica
costarica,yr2009,11.881906768529735,0.7768702665314778,Costa Rica
costarica,yr2010,11.515603992175597,0.33039552160480534,Costa Rica
costarica,yr2011,20.621411847537296,0.4960986106496358,Costa Rica
frenchguiana,2006,10.067871180875956,0.3542602444897056,French Guiana
frenchguiana,2007,10.503477099956942,0.3527849039994181,French Guiana
frenchguiana,2008,5.483267759996502,0.15397097955613231,French Guiana
frenchguiana,2009,6.584518196948801,0.3607137686216907,French Guiana
macae,2007,2.3493134773784146,0.040986113511966696,Macae
macae,2008,3.2806380837474416,0.09044646696754169,Macae
macae,2009,3.564647437791912,0.07795016179713062,Macae
macae,2010,2.4506438958308667,0.12472535636480858,Macae
macae,2011,3.7507001575348573,0.16616011906611455,Macae
macae,2012,2.6512651678481713,0.0836968596433265,Macae
puertorico,2001,6.134331568125429,0.2828617165911056,Puerto Rico
puertorico,2002,10.448431160792826,0.4094809959584383,Puerto Rico
puertorico,2003,12.553242766542827,0.3247934995917606,Puerto Rico
puertorico,2005,6.431570920778157,0.2595686549633909,Puerto Rico
puertorico,2006,11.647140908357684,0.20228378451429307,Puerto Rico
puertorico,2007,8.846779648226029,0.17675181197043976,Puerto Rico
puertorico,2008,2.516694569588217,0.14145810958022126,Puerto Rico
puertorico,2010,16.524756842470122,0.2825670308940519,Puerto Rico
puertorico,2011,9.297218628678817,0.27792443012003776,Puerto Rico
puertorico,2012,14.436887793212737,0.26249605323173436,Puerto Rico
