year2007,year2008,year2009,year2010,year2011
41.7,99.1,2.4,0,6.1
10.7,14,1.5,0,4.1
1.3,38.1,0,0,2
0.2,9.6,0,6,26.4
5.6,8.8,0,0,18.5
22.4,3.5,26.8,5.2,1.3
2.3,12.2,26.8,0.5,0.8
13.7,0.5,16.3,0.5,0.3
0,0.2,10.2,0,16.5
0.2,0.5,9.9,12.5,5.8
0,5.3,0,0.3,8.4
0,0.8,0,0,4.1
0.2,8.6,0,0,0.3
0,0.2,0.3,1.3,0
0,1.5,3.6,0.5,0
0,1.3,1.3,11.2,1
0,0,0,7.4,0.3
0,0.8,0,11.9,21.6
0,23.4,0,18,59.4
0,16,0,0,8.6
9.1,4.6,0,0,4.1
0.3,0,24.9,0,4.3
0,1.5,36.1,1,3.6
5.6,45.2,5.6,27.9,2.8
18.8,7.9,0,32,0.3
1.3,0.2,88.1,35.8,0.3
3,3,0,39.1,0
1.8,0,0.3,10.7,0
0.7,0.2,0.3,20.1,7.1
2,0,0,2.3,16.3
0.2,6.3,0,3,16.8
0.2,4.8,0,0.5,0
31.7,0,0,2.8,18.3
83.8,18,2.5,1.5,0.3
0.2,15.2,128,9.1,0
0,5.1,29.2,0.3,0
4.6,7.6,1.3,0,0.3
0.5,0.5,0.3,0,0
0.7,3.3,0,0,0
0.5,57.2,2.8,0,0
0,4.3,49.3,0.3,0
0,17.8,59.2,0,10.9
0,0,11.2,33.5,0.3
0,0.3,0,51.1,20.8
23.1,0,2.8,5.1,2.5
0.3,0,0,11.9,5.8
34.3,0,0.5,6.4,2.5
0.2,0,0,0.5,20.6
5.6,0,0,1.5,27.4
0.5,17.5,0,0,0
0.2,0,21.1,0.3,0.3
0,41.9,14.5,0,0.3
0,18,1.8,0,0
5.1,0,11.7,0,0.5
1.8,0,3,0,0.3
0.2,0,0.3,0,0
0,0,0,0,0
0,0,0,20.8,0.5
50.8,0.5,2,8.9,0
2.8,0.2,0.8,0.5,18.3
