site_brom.id,site.x,trt.name.x,mu.scalar,k.scalar,intended.mu,intended.k,temporal.block,maxvol,leaf.number,mean.diam,catchment.area,turbidity.initial,oxygen.percent.initial,oxygen.conc.initial,ph.initial,chlorophyll.initial,bacteria.per.ml..initial,amoeba.per.ml.initial,algae.per.ml.initial,ciliates.per.ml.initial,flagellates.per.ml.initial,rotifers.per.ml.initial,leafpack1.species1.mass.initial,leafpack2.species1.mass.initial,leafpack1.species2.mass.initial,leafpack2.species2.mass.initial,co2.final,methane.final,turbidity.final,oxygen.percent.final,oxygen.conc.final,ph.final,chlorophyll.final,bacteria.per.ml.final,amoeba.per.ml.final,algae.per.ml.final,ciliates.per.ml.final,flagellates.per.ml.final,rotifers.per.ml.final,leafpack1.species1.mass.final,leafpack2.species1.mass.final,leafpack1.species2.mass.final,leafpack2.species2.mass.final,water.volume.final,fpom.final,n15.bromeliad.final,final.bromeliad.percentn,final.bromeliad.percentc,site.y,trt.name.y,species1,species2,decomp,sample_size_species,engulfer_bio,filter.feeder_bio,gatherer_bio,piercer_bio,predation_NA_bio.x,scraper_bio,shredder_bio,engulfer_abd,filter.feeder_abd,gatherer_abd,predation_NA_abd.x,predator_piercer_abd,prey_piercer_abd,scraper_abd,shredder_abd,predation_NA_bio.y,predator_bio,prey_bio,predation_NA_abd.y,predator_abd,prey_abd,Coleoptera_bio,Diptera_bio,Ephemeroptera_bio,Haplotaxida_bio,Lepidoptera_bio,Odonata_bio,ord_NA_bio,Podocopida_bio,Trichoptera_bio,Hirudinea_bio,Neoptera_bio,Oligochaeta_bio,Palaeoptera_bio,Podocopa_bio,subclass_NA_bio,Aeolosomatidae_bio,Anisopodidae_bio,Calamoceratidae_bio,Candonidae_bio,Cecidomyiidae_bio,Ceratopogonidae_bio,Chironomidae_bio,Coenagrionidae_bio,Corethrellidae_bio,Culicidae_bio,Curculionidae_bio,Dolichopodidae_bio,Dytiscidae_bio,Elateridae_bio,Elmidae_bio,Empididae_bio,Enchytraeoidae_bio,Ephydridae_bio,family_NA_bio,Hydrophilidae_bio,Lampyridae_bio,Limnocytheridae_bio,Limoniidae_bio,Muscidae_bio,Naididae_bio,Periscelididae_bio,Phoridae_bio,Pseudostigmatidae_bio,Psychodidae_bio,Ptilodactylidae_bio,Scatopsidae_bio,Sciaridae_bio,Scirtidae_bio,Sphaeroceridae_bio,Stratiomyidae_bio,Syrphidae_bio,Tabanidae_bio,Tipulidae_bio,Anophelinae_bio,Calamoceratinae_bio,Candoninae_bio,Ceratopogoninae_bio,Chioneinae_bio,Chironominae_bio,Copelatinae_bio,Copelatus_bio.x,Corethrellinae_bio,Culicinae_bio,Dasyheleniae_bio,Eristalinae_bio,Forcipomyiinae_bio,Limoniinae_bio,Naidinae_bio,Orthocladiinae_bio,Pristininae_bio,Psychodinae_bio,Sphaeridiinae_bio,subfamily_NA_bio,Tabaninae_bio,Tanypodinae_bio,Timiriaseviinae_bio,Tipulinae_bio,Aelosoma_bio,Anopheles_bio,Atrichopogon_bio,Aulophorus_bio,Bezzia_bio,Bromeliagrion_bio,Candonopsis_bio,Cheilotrichia_bio,Chironomus_bio,Contacyphon_bio,Copelatus_bio.y,Corethrella_bio,Corynoneura_bio,Culex_bio,Culicoides_bio,Dero_bio,Elpidium_bio,Eristalis_bio,Forcipomyia_bio,genus_NA_bio,Haemagogus_bio,Harnischia_bio,Larsia_bio,Leptagrion_bio,Limnophyes_bio,Mecistogaster_bio,Monopelopia_bio,Pericoma_bio,Phylloicus_bio,Polypedilum_bio,Pristina_bio,Sphaeromias_bio,Stenochironomus_bio,Stibasoma_bio,Stilobezzia_bio,Tanytarsus_bio,Tipula_bio,Toxorhynchites_bio,Trentepohlia_bio,Wyeomyia_bio,mean.depth,max.depth,min.depth,amplitude,net_fluc,tot_fluc,sd.depth,cv.depth,wetness,prop.overflow.days,prop.driedout.days,long_dry,long_wet,n_driedout,n_overflow,last_dry,last_wet,cv_max_temp,cv_mean_temp,cv_min_temp,max_temp,mean_temp,min_temp,sd_max_temp,sd_mean_temp,sd_min_temp,site,trt.name
argentina_1,argentina,mu0.1k0.5,0.1,0.5,0.43,0.03,b,280,30,70.5,1146.52,NA,16.6,5.9,6.5,NA,NA,NA,NA,NA,NA,NA,170,140,NA,NA,1.5672125,NA,376,17.5,69,6.4,9.32,NA,NA,NA,NA,NA,NA,100,70,NA,NA,45,NA,7.065065153408101,0.434883066759012,NA,argentina,mu0.1k0.5,0.45588235294117646,NA,0.45588235294117646,1,0,0,0.3888888888888889,0,0,1.1052631578947367,2.3,0,0,7,0,0,0,14,2,0,0,3.7941520467836254,0,0,23,1.1052631578947367,2.6888888888888887,0,0,0,0,0,0,0,0,3.7941520467836254,0,0,0,0,0,0,0,0,0,0,0.3888888888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1052631578947367,0,0,0,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7941520467836254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7941520467836254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.194444444444445,59.375,0,59.375,-67.2,67.2,15.855456826734212,227.6321289046315,0.12516919369026885,0.03333333333333333,0.7777777777777777,20,2,35,1.5,4,34,11.7315920718273,10.7714962149719,17.965006920688,29.5,23.2521766169154,17.8134328358209,3.46081966118906,2.50460732418963,3.20018444176734,argentina,mu0.1k0.5
argentina_26,argentina,mu0.2k0.5,0.2,0.5,0.86,0.03,c,340,30,67,1380.95,214,2.9,1.2,6.54,NA,NA,NA,NA,NA,NA,NA,170,120,NA,NA,3.0860653,NA,25.7,NA,NA,5.95,17.04,NA,NA,NA,NA,NA,NA,60,60,NA,NA,60,NA,19.312807771968863,0.6489892814183782,NA,argentina,mu0.2k0.5,0.5735294117647058,NA,0.5735294117647058,1,0,0,0.611111111111111,16.9,0,0.9409090909090909,1.4,0,0,11,0,1,0,23,2,0,16.9,2.952020202020202,0,1,36,0.9409090909090909,18.911111111111108,0,0,0,0,0,0,0,0,19.8520202020202,0,0,0,0,0,0,0,0,0,0,0.611111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9409090909090909,0,0,0,16.9,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.8520202020202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.8520202020202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1651041666666675,44.45,0,44.45,-12.55,209.75,10.537955026798365,157.9310327676858,0.16003845658851926,0.041666666666666664,0.59375,14.5,0,28.5,2,4,35,10.4650920085018,9.54777383714574,15.7875195135185,29.8582089552239,23.890236318408,18.4029850746269,3.12468903925491,2.28098573284124,2.90537485972661,argentina,mu0.2k0.5
argentina_30,argentina,mu0.4k0.5,0.4,0.5,1.72,0.03,c,280,29,59,911.86,NA,1.4,0.6,6.67,NA,NA,NA,NA,NA,NA,NA,150,140,NA,NA,1.3630270999999998,NA,45.7,NA,NA,5.95,73.22,NA,NA,NA,NA,NA,NA,60,80,NA,NA,45,NA,12.655428471850971,0.5376545597034019,NA,argentina,mu0.4k0.5,0.5142857142857142,NA,0.5142857142857142,1,0,0,0.3888888888888889,46.800000000000004,0,1.4999999999999998,0,0,0,7,0,1,0,5,0,0,46.800000000000004,1.8888888888888886,0,1,12,1.4999999999999998,47.18888888888889,0,0,0,0,0,0,0,0,48.68888888888889,0,0,0,0,0,0,0,0,0,0,0.3888888888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4999999999999998,0,0,0,46.800000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.68888888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.68888888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.81822916666667,76.975,0,76.975,5.599999999999996,407.09999999999997,22.79463887052956,71.07122151838072,0.4686051719118175,0.09375,0.20833333333333334,4.5,3,10,4.5,4,35,12.2106540489865,10.1520351009003,18.4613791048504,32.1044776119403,23.8510572139303,17.3432835820896,3.92016669542836,2.42136770029402,3.20180933131883,argentina,mu0.4k0.5
argentina_20,argentina,mu0.6k0.5,0.6,0.5,2.58,0.03,a,600,35,58.5,981.87,257,18.3,7.5,6.61,NA,NA,NA,NA,NA,NA,NA,150,150,NA,NA,1.6101988999999999,NA,36.4,7.2,3,5.88,23.34,NA,NA,NA,NA,NA,NA,80,80,NA,NA,52,NA,20.692588658666633,0.5023049150394076,NA,argentina,mu0.6k0.5,0.4666666666666667,NA,0.4666666666666667,1,0,0.24705882352941175,0.3888888888888889,2.9,0,1.392857142857143,0.6,0,3,7,0,1,0,15,2,0,2.9,2.6288048552754435,0,1,27,1.392857142857143,4.1359477124183,0,0,0,0,0,0,0,0,5.528804855275443,0,0,0,0,0,0,0,0,0,0,0.3888888888888889,0,0,0.24705882352941175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.392857142857143,0,0,0,2.9,0.6,0,0,0,0,0,0,0,0,0,0.24705882352941175,0,0,0,0,0,0,0,0,0,5.281746031746032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24705882352941175,0,0,0,0,0,5.281746031746032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.981818181818184,99.35,0,99.35,-96.57499999999999,438.025,27.51230922028349,52.27168427863987,0.5437917286996924,0.056818181818181816,0.07954545454545454,2.5,2,3.5,2.5,4,43,11.5578659236367,10.2545891683247,17.4258233239676,29.4850746268657,23.577736318408,18.4626865671642,3.40784539285737,2.41779999464362,3.21727514205194,argentina,mu0.6k0.5
argentina_29,argentina,mu0.8k0.5,0.8,0.5,3.45,0.03,b,345,32,54,797.44,NA,18.2,6.9,6.65,NA,NA,NA,NA,NA,NA,NA,130,160,NA,NA,1.1570506,NA,52.3,17.8,7,6.43,25.16,NA,NA,NA,NA,NA,NA,90,70,NA,NA,58,NA,17.365236466565072,0.41612935401122497,NA,argentina,mu0.8k0.5,0.43509615384615385,NA,0.43509615384615385,1,0,0.08235294117647059,0.6666666666666667,0,0,0.8,0,0,1,12,0,0,0,7,0,0,0,1.5490196078431373,0,0,20,0.8,0.7490196078431374,0,0,0,0,0,0,0,0,1.5490196078431373,0,0,0,0,0,0,0,0,0,0,0.6666666666666667,0,0,0.08235294117647059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08235294117647059,0,0,0,0,0,0,0,0,0,1.4666666666666668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08235294117647059,0,0,0,0,0,1.4666666666666668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.599444444444444,74,0,74,-33.24999999999999,349.6,23.12303689841038,83.32401323104185,0.3784709261691359,0.06666666666666667,0.25555555555555554,5.5,2,11.5,3,4,21,11.6664416709125,9.69570126535451,16.5146797623211,31.3731343283582,24.0976368159204,18.6194029850746,3.66012841675494,2.33643487768173,3.07493477664113,argentina,mu0.8k0.5
argentina_15,argentina,mu1k0.5,1,0.5,4.31,0.03,b,230,29,70,843.93,230,16.9,6.3,6.74,NA,NA,NA,NA,NA,NA,NA,230,150,NA,NA,1.3469072,NA,71.4,16.1,6.3,6.52,2.36,NA,NA,NA,NA,NA,NA,130,40,NA,NA,20,NA,16.481107022867867,0.6168153080066919,NA,argentina,mu1k0.5,0.5840579710144927,NA,0.5840579710144927,1,0,0,0.11111111111111112,0,0,0.6,0,0,0,2,0,0,0,6,0,0,0,0.7111111111111111,0,0,8,0.6,0.11111111111111112,0,0,0,0,0,0,0,0,0.7111111111111111,0,0,0,0,0,0,0,0,0,0,0.11111111111111112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7111111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7111111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056666666666666664,2.55,0,2.55,0,0,0.38013155617496425,670.820393249937,0.022222222222222223,0,1,24,0,45,0,4,65,11.7183017111687,10.3349885553936,18.2537808483823,30.2089552238806,23.4937810945274,17.8955223880597,3.5399765169262,2.42807958734863,3.2666094383896,argentina,mu1k0.5
argentina_12,argentina,mu1.5k0.5,1.5,0.5,6.46,0.03,c,435,35,55.5,946.79,205,17.6,6.6,6.85,NA,NA,NA,NA,NA,NA,NA,220,140,NA,NA,1.4167600999999999,NA,30.1,NA,NA,6.4,0.011,NA,NA,NA,NA,NA,NA,110,60,NA,NA,75,NA,15.658253580470127,0.525000810764222,NA,argentina,mu1.5k0.5,0.5357142857142857,NA,0.5357142857142857,1,0,0,2.109714285714286,20.9,0,4.5,1.8,0,0,36,0,2,0,38,2,0,20.9,8.409714285714285,0,2,76,4.5,24.809714285714286,0,0,0,0,0,0,0,0,29.309714285714286,0,0,0,0,0,0,0,0,0,0,0.224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8857142857142857,0,0,0,4.5,0,0,0,20.9,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8857142857142857,0,27.424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.424,0,0,0,0,0,0,0,1.8857142857142857,0,0,0,0,0,0,0,0,0,0,0,0,45.50260416666667,86.25,0,86.25,44.95,470.25,27.320811440555822,64.80843960967782,0.5068033305430821,0.125,0.17708333333333331,7,3.5,8.5,6,4,35,10.9222099773982,9.49514901619824,16.7652916388629,30.3208955223881,23.4884950248756,17.9477611940299,3.31171187598274,2.23026760427425,3.00899450682577,argentina,mu1.5k0.5
argentina_3,argentina,mu2k0.5,2,0.5,8.62,0.03,a,300,33,60,912.75,432,19.3,7.2,6.61,NA,NA,NA,NA,NA,NA,NA,270,140,NA,NA,1.844833,NA,416,18.5,7.4,6.54,0.011,NA,NA,NA,NA,NA,NA,80,60,NA,NA,53,NA,4.736632268912855,0.6193094920209606,NA,argentina,mu2k0.5,0.6375661375661376,NA,0.6375661375661376,1,0,0,0.2357142857142857,3,0,0.5764705882352941,1.2545454545454546,0,0,1,0,1,0,14,1,0,3,2.0667303284950345,0,1,16,0.5764705882352941,4.490259740259741,0,0,0,0,0,0,0,0,5.0667303284950345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2357142857142857,0,0,0,0.5764705882352941,0,0,0,3,1.2545454545454546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2357142857142857,0,4.831016042780749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.831016042780749,0,0,0,0,0,0,0,0.2357142857142857,0,0,0,0,0,0,0,0,0,0,0,0,19.74659090909091,51.775,0,51.775,4.325000000000003,239.47500000000002,17.38680661152339,91.11699063772775,0.3767283044958025,0.125,0.375,7,2,16.5,5.5,4,23,11.4585839705236,11.2687830191926,18.5679530442191,29.2835820895522,23.1564054726368,17.865671641791,3.35548384330854,2.60944508775589,3.31728952148213,argentina,mu2k0.5
argentina_11,argentina,mu2.5k0.5,2.5,0.5,10.77,0.03,c,415,38,70.5,1467.83,335,8.2,3.2,6.39,NA,NA,NA,NA,NA,NA,NA,170,180,NA,NA,1.504524,NA,65.7,NA,NA,6.57,11.72,NA,NA,NA,NA,NA,NA,90,80,NA,NA,59,NA,25.564726486207334,0.48117464591565734,NA,argentina,mu2.5k0.5,0.5130718954248366,NA,0.5130718954248366,1,0,0.32941176470588235,2.3903846153846153,4.2,0,0.7,0.2,0,4,93,0,1,0,7,3,0,4.2,3.6197963800904978,0,1,107,0.7,7.119796380090498,0,0,0,0,0,0,0,0,7.819796380090498,0,0,0,0,0,0,0,0,0,0,1.0903846153846153,0,0,0.32941176470588235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0,0,0,0.7,0,0,0,4.2,0.2,0,0,0,0,0,0,0,0,0,0.32941176470588235,0,0,0,0,0,0,0,1.3,0,6.190384615384615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32941176470588235,0,0,0,0,0,6.190384615384615,0,0,0,0,0,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,29.504166666666663,71.175,0,71.175,9.400000000000002,509.4,23.97347587271095,83.98756057783578,0.40528343902997,0.09375,0.26041666666666663,6,4,12.5,4.5,4,35,10.4991288027303,10.4714404890799,18.4085565189068,29.1044776119403,22.9437189054726,17.1119402985075,3.05571659183942,2.40253787116834,3.15006120133233,argentina,mu2.5k0.5
argentina_6,argentina,mu3k0.5,3,0.5,12.92,0.03,c,210,28,52,504.96,NA,3.7,1.7,6.92,NA,NA,NA,NA,NA,NA,NA,150,190,NA,NA,1.6872162,NA,105.7,NA,NA,6.79,51.73,NA,NA,NA,NA,NA,NA,100,70,NA,NA,43,NA,20.324874801735948,0.5618370151607259,NA,argentina,mu3k0.5,0.48245614035087714,NA,0.48245614035087714,1,4.4,0,0.5625,12.4,0,0.36338028169014086,1.1,2,0,34,0,1,0,6,1,0,16.8,2.025880281690141,0,3,41,4.763380281690141,14.0625,0,0,0,0,0,0,0,0,18.825880281690143,0,0,0,0,0,0,0,0,0,0,0.36250000000000004,0,0,0,0,0,0,0,0,0,0,0,4.4,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0.36338028169014086,0,0,0,12.4,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,18.62588028169014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.62588028169014,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,11.561458333333334,53.150000000000006,0,53.150000000000006,18.200000000000003,300.6,13.932713065311106,124.16445438882585,0.22980933959910782,0.041666666666666664,0.46875,6,2,22.5,2,4,22,10.1195993737715,10.0127905615085,14.958422476462,26.5970149253731,22.4819651741294,18.2910447761194,2.69151135582998,2.25107208699684,2.73605175297077,argentina,mu3k0.5
