site_brom.id,site,trt.name,mu.scalar,k.scalar,intended.mu,intended.k,temporal.block,maxvol,leaf.number,mean.diam,catchment.area,turbidity.initial,oxygen.percent.initial,oxygen.conc.initial,ph.initial,chlorophyll.initial,bacteria.per.ml..initial,amoeba.per.ml.initial,algae.per.ml.initial,ciliates.per.ml.initial,flagellates.per.ml.initial,rotifers.per.ml.initial,leafpack1.species1.mass.initial,leafpack2.species1.mass.initial,leafpack1.species2.mass.initial,leafpack2.species2.mass.initial,co2.final,methane.final,turbidity.final,oxygen.percent.final,oxygen.conc.final,ph.final,chlorophyll.final,bacteria.per.ml.final,amoeba.per.ml.final,algae.per.ml.final,ciliates.per.ml.final,flagellates.per.ml.final,rotifers.per.ml.final,leafpack1.species1.mass.final,leafpack2.species1.mass.final,leafpack1.species2.mass.final,leafpack2.species2.mass.final,water.volume.final,fpom.final,n15.bromeliad.final,final.bromeliad.percentn,final.bromeliad.percentc,species1,species2,decomp,sample_size_species,engulfer_bio,filter.feeder_bio,gatherer_bio,func_NA_bio,piercer_bio,scraper_bio,shredder_bio,engulfer_abd,filter.feeder_abd,gatherer_abd,func_NA_abd,piercer_abd,scraper_abd,shredder_abd,meso_pred_bio,trophic_NA_bio,prey_bio,top_pred_bio,meso_pred_ab,trophic_NA_abd,prey_abd,top_pred_ab,Coleoptera_bio,Diptera_bio,Ephemeroptera_bio,Haplotaxida_bio,ord_NA_bio,Odonata_bio,Podocopida_bio,Trichoptera_bio,Aeolosomatidae_bio,Anisopodidae_bio,Calamoceratidae_bio,Candonidae_bio,Cecidomyiidae_bio,Ceratopogonidae_bio,Chironomidae_bio,Coenagrionidae_bio,Corethrellidae_bio,Culicidae_bio,Curculionidae_bio,Dolichopodidae_bio,Dytiscidae_bio,Elateridae_bio,Elmidae_bio,Empididae_bio,Enchytraeoidae_bio,Ephydridae_bio,Hydrophilidae_bio,Lampyridae_bio,Limnocytheridae_bio,Limoniidae_bio,Muscidae_bio,family_NA_bio,Naididae_bio,Periscelididae_bio,Phoridae_bio,Pseudostigmatidae_bio,Psychodidae_bio,Ptilodactylidae_bio,Scatopsidae_bio,Sciaridae_bio,Scirtidae_bio,Sphaeroceridae_bio,Stratiomyidae_bio,Syrphidae_bio,Tabanidae_bio,Tipulidae_bio,Anophelinae_bio,Calamoceratinae_bio,Candoninae_bio,Ceratopogoninae_bio,Chioneinae_bio,Chironominae_bio,Copelatinae_bio,Copelatus_bio,Corethrellinae_bio,Culicinae_bio,Dasyheleniae_bio,Eristalinae_bio,Forcipomyiinae_bio,Limoniinae_bio,subfamily_NA_bio,Naidinae_bio,Orthocladiinae_bio,Pristininae_bio,Psychodinae_bio,Sphaeridiinae_bio,Tabaninae_bio,Tanypodinae_bio,Timiriaseviinae_bio,Tipulinae_bio,odonata_bio,odonata_ab,cv_max_temp,cv_mean_temp,cv_min_temp,max_temp,mean_temp,min_temp,sd_max_temp,sd_mean_temp,sd_min_temp,mean.depth,max.depth,min.depth,amplitude,net_fluc,tot_fluc,sd.depth,cv.depth,wetness,prop.overflow.days,prop.driedout.days,long_dry,long_wet,n_driedout,n_overflow,last_dry,last_wet,total_pred_bio,total_pred_ab
argentina_1,argentina,mu0.1k0.5,0.1,0.5,0.43,0.03,b,280,30,70.5,1146.52,NA,16.6,5.9,6.5,NA,NA,NA,NA,NA,NA,NA,170,140,NA,NA,1.5672125,NA,376,17.5,69,6.4,9.32,NA,NA,NA,NA,NA,NA,100,70,NA,NA,45,NA,7.065065153,0.434883067,NA,0.455882353,NA,0.455882353,1,0,0,0.388888889,0,0,1.105263158,2.3,0,0,7,0,0,14,2,0,0,3.794152047,0,0,0,23,0,1.105263158,2.688888889,0,0,0,0,0,0,0,0,0,0,0,0,0.388888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.105263158,0,0,0,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.794152047,0,0,0,0,0,0,0,0,0,NA,NA,11.73159207,10.77149621,17.96500692,29.5,23.25217662,17.81343284,3.460819661,2.504607324,3.200184442,8.194444444,59.375,0,59.375,-67.2,67.2,15.85545683,227.6321289,0.125169194,0.033333333,0.777777778,20,2,35,1.5,4,34,0,0
argentina_26,argentina,mu0.2k0.5,0.2,0.5,0.86,0.03,c,340,30,67,1380.95,214,2.9,1.2,6.54,NA,NA,NA,NA,NA,NA,NA,170,120,NA,NA,3.0860653,NA,25.7,NA,NA,5.95,17.04,NA,NA,NA,NA,NA,NA,60,60,NA,NA,60,NA,19.31280777,0.648989281,NA,0.573529412,NA,0.573529412,1,0,0,0.611111111,0,16.9,0.940909091,1.4,0,0,11,0,1,23,2,0,0,2.952020202,16.9,0,0,36,1,0.940909091,18.91111111,0,0,0,0,0,0,0,0,0,0,0,0,0.611111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.940909091,0,0,0,16.9,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.8520202,0,0,0,0,0,0,0,0,0,NA,NA,10.46509201,9.547773837,15.78751951,29.85820896,23.89023632,18.40298507,3.124689039,2.280985733,2.90537486,7.165104167,44.45,0,44.45,-12.55,209.75,10.53795503,157.9310328,0.160038457,0.041666667,0.59375,14.5,0,28.5,2,4,35,16.9,1
argentina_30,argentina,mu0.4k0.5,0.4,0.5,1.72,0.03,c,280,29,59,911.86,NA,1.4,0.6,6.67,NA,NA,NA,NA,NA,NA,NA,150,140,NA,NA,1.3630271,NA,45.7,NA,NA,5.95,73.22,NA,NA,NA,NA,NA,NA,60,80,NA,NA,45,NA,12.65542847,0.53765456,NA,0.514285714,NA,0.514285714,1,0,0,0.388888889,0,46.8,1.5,0,0,0,7,0,1,5,0,0,0,1.888888889,46.8,0,0,12,1,1.5,47.18888889,0,0,0,0,0,0,0,0,0,0,0,0,0.388888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,46.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.68888889,0,0,0,0,0,0,0,0,0,NA,NA,12.21065405,10.1520351,18.4613791,32.10447761,23.85105721,17.34328358,3.920166695,2.4213677,3.201809331,37.81822917,76.975,0,76.975,5.6,407.1,22.79463887,71.07122152,0.468605172,0.09375,0.208333333,4.5,3,10,4.5,4,35,46.8,1
argentina_20,argentina,mu0.6k0.5,0.6,0.5,2.58,0.03,a,600,35,58.5,981.87,257,18.3,7.5,6.61,NA,NA,NA,NA,NA,NA,NA,150,150,NA,NA,1.6101989,NA,36.4,7.2,3,5.88,23.34,NA,NA,NA,NA,NA,NA,80,80,NA,NA,52,NA,20.69258866,0.502304915,NA,0.466666667,NA,0.466666667,1,0,0.247058824,0.388888889,0,2.9,1.392857143,0.6,0,3,7,0,1,15,2,0,0,2.628804855,2.9,0,0,27,1,1.392857143,4.135947712,0,0,0,0,0,0,0,0,0,0,0,0,0.388888889,0,0,0.247058824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.392857143,0,0,0,2.9,0.6,0,0,0,0,0,0,0,0,0,0.247058824,0,0,0,0,5.281746032,0,0,0,0,0,0,0,0,0,NA,NA,11.55786592,10.25458917,17.42582332,29.48507463,23.57773632,18.46268657,3.407845393,2.417799995,3.217275142,54.98181818,99.35,0,99.35,-96.575,438.025,27.51230922,52.27168428,0.543791729,0.056818182,0.079545455,2.5,2,3.5,2.5,4,43,2.9,1
argentina_29,argentina,mu0.8k0.5,0.8,0.5,3.45,0.03,b,345,32,54,797.44,NA,18.2,6.9,6.65,NA,NA,NA,NA,NA,NA,NA,130,160,NA,NA,1.1570506,NA,52.3,17.8,7,6.43,NA,NA,NA,NA,NA,NA,NA,90,70,NA,NA,58,NA,17.36523647,0.416129354,NA,0.435096154,NA,0.435096154,1,0,0.082352941,0.666666667,0,0,0.8,0,0,1,12,0,0,7,0,0,0,1.549019608,0,0,0,20,0,0.8,0.749019608,0,0,0,0,0,0,0,0,0,0,0,0,0.666666667,0,0,0.082352941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.082352941,0,0,0,0,1.466666667,0,0,0,0,0,0,0,0,0,NA,NA,11.66644167,9.695701265,16.51467976,31.37313433,24.09763682,18.61940299,3.660128417,2.336434878,3.074934777,27.59944444,74,0,74,-33.25,349.6,23.1230369,83.32401323,0.378470926,0.066666667,0.255555556,5.5,2,11.5,3,4,21,0,0
argentina_15,argentina,mu1k0.5,1,0.5,4.31,0.03,b,230,29,70,843.93,230,16.9,6.3,6.74,NA,NA,NA,NA,NA,NA,NA,230,150,NA,NA,1.3469072,NA,71.4,16.1,6.3,6.52,2.36,NA,NA,NA,NA,NA,NA,130,40,NA,NA,20,NA,16.48110702,0.616815308,NA,0.584057971,NA,0.584057971,1,0,0,0.111111111,0,0,0.6,0,0,0,2,0,0,6,0,0,0,0.711111111,0,0,0,8,0,0.6,0.111111111,0,0,0,0,0,0,0,0,0,0,0,0,0.111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.711111111,0,0,0,0,0,0,0,0,0,NA,NA,11.71830171,10.33498856,18.25378085,30.20895522,23.49378109,17.89552239,3.539976517,2.428079587,3.266609438,0.056666667,2.55,0,2.55,0,0,0.380131556,670.8203932,0.022222222,0,1,24,0,45,0,4,65,0,0
argentina_12,argentina,mu1.5k0.5,1.5,0.5,6.46,0.03,c,435,35,55.5,946.79,205,17.6,6.6,6.85,NA,NA,NA,NA,NA,NA,NA,220,140,NA,NA,1.4167601,NA,30.1,NA,NA,6.4,0.011,NA,NA,NA,NA,NA,NA,110,60,NA,NA,75,NA,15.65825358,0.525000811,NA,0.535714286,NA,0.535714286,1,0,0,2.109714286,0,20.9,4.5,1.8,0,0,36,0,2,38,2,0,0,8.409714286,20.9,0,0,76,2,4.5,24.80971429,0,0,0,0,0,0,0,0,0,0,0,0,0.224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.885714286,0,0,0,4.5,0,0,0,20.9,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.424,0,0,0,1.885714286,0,0,0,0,0,NA,NA,10.92220998,9.495149016,16.76529164,30.32089552,23.48849502,17.94776119,3.311711876,2.230267604,3.008994507,45.50260417,86.25,0,86.25,44.95,470.25,27.32081144,64.80843961,0.506803331,0.125,0.177083333,7,3.5,8.5,6,4,35,20.9,2
argentina_3,argentina,mu2k0.5,2,0.5,8.62,0.03,a,300,33,60,912.75,432,19.3,7.2,6.61,NA,NA,NA,NA,NA,NA,NA,270,140,NA,NA,1.844833,NA,416,18.5,7.4,6.54,0.011,NA,NA,NA,NA,NA,NA,80,60,NA,NA,53,NA,4.736632269,0.619309492,NA,0.637566138,NA,0.637566138,1,0,0,0.235714286,0,3,0.576470588,1.254545455,0,0,1,0,1,14,1,0,0,2.066730328,3,0,0,16,1,0.576470588,4.49025974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.235714286,0,0,0,0.576470588,0,0,0,3,1.254545455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.831016043,0,0,0,0.235714286,0,0,0,0,0,NA,NA,11.45858397,11.26878302,18.56795304,29.28358209,23.15640547,17.86567164,3.355483843,2.609445088,3.317289521,19.74659091,51.775,0,51.775,4.325,239.475,17.38680661,91.11699064,0.376728304,0.125,0.375,7,2,16.5,5.5,4,23,3,1
argentina_11,argentina,mu2.5k0.5,2.5,0.5,10.77,0.03,c,415,38,70.5,1467.83,335,8.2,3.2,6.39,NA,NA,NA,NA,NA,NA,NA,170,180,NA,NA,1.504524,NA,65.7,NA,NA,6.57,11.72,NA,NA,NA,NA,NA,NA,90,80,NA,NA,59,NA,25.56472649,0.481174646,NA,0.513071895,NA,0.513071895,1,0,0.329411765,2.390384615,0,4.2,0.7,0.2,0,4,93,0,1,7,3,0,0,3.61979638,4.2,0,0,107,1,0.7,7.11979638,0,0,0,0,0,0,0,0,0,0,0,0,1.090384615,0,0,0.329411765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0,0,0,0.7,0,0,0,4.2,0.2,0,0,0,0,0,0,0,0,0,0.329411765,0,0,0,0,6.190384615,0,0,0,1.3,0,0,0,0,0,NA,NA,10.4991288,10.47144049,18.40855652,29.10447761,22.94371891,17.1119403,3.055716592,2.402537871,3.150061201,29.50416667,71.175,0,71.175,9.4,509.4,23.97347587,83.98756058,0.405283439,0.09375,0.260416667,6,4,12.5,4.5,4,35,4.2,1
argentina_6,argentina,mu3k0.5,3,0.5,12.92,0.03,c,210,28,52,504.96,NA,3.7,1.7,6.92,NA,NA,NA,NA,NA,NA,NA,150,190,NA,NA,1.6872162,NA,105.7,NA,NA,6.79,51.73,NA,NA,NA,NA,NA,NA,100,70,NA,NA,43,NA,20.3248748,0.561837015,NA,0.48245614,NA,0.48245614,1,4.4,0,0.5625,0,12.4,0.363380282,1.1,2,0,34,0,1,6,1,0,0,2.025880282,16.8,0,0,41,3,4.763380282,14.0625,0,0,0,0,0,0,0,0,0,0,0,0,0.3625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4,0,0,0,0,0.2,0,0,0,0.363380282,0,0,0,12.4,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.62588028,0,0,0,0.2,0,0,0,0,0,NA,NA,10.11959937,10.01279056,14.95842248,26.59701493,22.48196517,18.29104478,2.691511356,2.251072087,2.736051753,11.56145833,53.15,0,53.15,18.2,300.6,13.93271307,124.1644544,0.22980934,0.041666667,0.46875,6,2,22.5,2,4,22,16.8,3
